nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00068003,Cell Harvest and Preparation for Surgery Branch Treatment Protocols,,Enrolling by invitation,Observational,Melanoma; Gastrointestinal Cancer; Metastatic Cancer; Breast Cancer; Non-Small Cell Lung Cancer,Anti-CD19 CAR PBL,,National Cancer Institute (NCI),,7000,2003-09-08,,United States,No,https://clinicaltrials.gov/study/NCT00068003
NCT01595074,"The Identification, Validation and Implemention of Prognostic and/or Predictive Biomarkers for Adjuvant Chemotherapy in Early Stage Non-Small Cell Lung Cancer (NSCLC)",,Not yet recruiting,Observational,Stage IA Non-small Cell Lung Cancer; Stage IB Non-small Cell Lung Cancer; Stage IIA Non-small Cell Lung Cancer; Stage IIB Non-small Cell Lung Cancer; Stage IIIA Non-small Cell Lung Cancer,medical chart review; laboratory biomarker analysis,,National Cancer Institute (NCI),,950,2012-05-05,,Canada,No,https://clinicaltrials.gov/study/NCT01595074
NCT02178163,A Study to Assess the Ability to Initiate Therapy in Advanced Non-small Cell Lung Cancer (NSCLC) Patients Based on Genomic Analyses of Tumor Specimens.,Not Applicable,Recruiting,Interventional,Recurrent Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,cytology specimen collection procedure; laboratory biomarker analysis,,Barbara Ann Karmanos Cancer Institute,National Cancer Institute (NCI),1020,2014-08-01,2027-07-05,United States,No,https://clinicaltrials.gov/study/NCT02178163
NCT02596490,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,Not Applicable,Recruiting,Interventional,Lung Cancer,Questionnaires; Meditation and Discussion Sessions; Cancer-Related Discussion Program,,M.D. Anderson Cancer Center,"National Cancer Institute (NCI); American Cancer Society, Inc.",300,2016-04-06,2026-12-01,United States,No,https://clinicaltrials.gov/study/NCT02596490
NCT03260491,"A Multicenter, Open-Label Phase 1 Study of U3-1402 in Subjects With Metastatic or Unresectable Non-small Cell Lung Cancer",Phase 1,Recruiting,Interventional,Non-Small Cell Lung Cancer (NSCLC),HER3-DXd (FL-DP); HER3-DXd (CTM-1 Lyo-DP); HER3-DXd (CTM-3 Lyo-DP),,Daiichi Sankyo,Merck Sharp & Dohme LLC,309,2017-10-30,2026-12-31,Japan; Netherlands; South Korea; Spain; Taiwan; United States,No,https://clinicaltrials.gov/study/NCT03260491
NCT03586453,A Phase II Study of Osimertinib With On-study and Post-progression Biopsy in the First Line Treatment of EGFR Inhibitor naïve Advanced EGFR Mutant Lung Cancer,Phase 2,Recruiting,Interventional,"Carcinoma, Non-Small-Cell Lung",Osimertinib,,Dana-Farber Cancer Institute,AstraZeneca,30,2018-08-13,2027-03-01,United States,No,https://clinicaltrials.gov/study/NCT03586453
NCT03774758,Circulating Tumor DNA for Risk Stratification in Lung Cancer Screening,,Recruiting,Observational,Nodule Solitary Pulmonary; Non-small Cell Lung Cancer,Guardant Health ct-DNA LUNAR assay,,"University of California, San Francisco","Northern California Institute of Research and Education; Guardant Health, Inc.",590,2017-12-17,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT03774758
NCT03948100,"Dyadic Behavioral Interventions to Manage Physical Performance, Symptoms and Quality of Life for Patient Undergoing Radiotherapy and Their Family Caregivers",Not Applicable,Recruiting,Interventional,Esophageal Carcinoma; Lung Non-Small Cell Carcinoma; Stage I Lung Cancer AJCC v8; Stage IA1 Lung Cancer AJCC v8; Stage IA2 Lung Cancer AJCC v8; Stage IA3 Lung Cancer AJCC v8; Stage IB Lung Cancer AJCC v8; Stage II Lung Cancer AJCC v8; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8,Educational Intervention; Quality-of-Life Assessment; Questionnaire Administration; Yoga,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),400,2018-12-20,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03948100
NCT04093167,"A Biomarker-Directed, Multi-Centre Phase II/III Study of CTDNA Response Adaptive Immuno-Chemotherapy in Non-Small Cell Lung Cancer",Phase 2/Phase 3,Recruiting,Interventional,Non-Small Cell Lung Cancer,Pembrolizumab,,Canadian Cancer Trials Group,"Cancer Research Institute, New York City; Personal Genome Diagnostics; Mark Foundation for Cancer Research",230,2020-05-26,2027-07-30,Canada; United States,No,https://clinicaltrials.gov/study/NCT04093167
NCT04130516,"A Multicenter Phase 1-2A Study to Assess the Safety, Tolerability, Pharmacokinetics, and Antitumor Activity of LNS8801 in Patients With Advanced Cancer With and Without Pembrolizumab",Phase 1/Phase 2,Recruiting,Interventional,"Solid Tumor, Adult","LNS8801 -Small molecule, orally bioavailable, selective agonist of GPER; Pembrolizumab - anti-PD-1 antibody",,"Linnaeus Therapeutics, Inc.",Merck Sharp & Dohme LLC,200,2019-10-21,2027-12-15,United States,No,https://clinicaltrials.gov/study/NCT04130516
