nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00001465,Characterization of the Pathogenesis of Lymphangioleiomyomatosis (LAM),,Recruiting,Observational,Lung Disease; Pneumothorax; Tuberous Sclerosis; Lymphangioleiomyomatosis,Toshibia Aquilion One CT,,"National Heart, Lung, and Blood Institute (NHLBI)",,2000,1995-12-18,,United States,No,https://clinicaltrials.gov/study/NCT00001465
NCT00033137,"Birt-Hogg-Dub(SqrRoot)(Copyright) Syndrome: Characterization of the FLCN Disease Gene and Predisposition to Renal Cancer, Cutaneous Fibrofolliculoma and Pulmonary Cysts",,Recruiting,Observational,"Kidney Neoplasms; Kidney Cancer; Pneumothorax; FLCN Protein, Human",,,National Cancer Institute (NCI),,950,2002-05-13,,United States,No,https://clinicaltrials.gov/study/NCT00033137
NCT00068003,Cell Harvest and Preparation for Surgery Branch Treatment Protocols,,Enrolling by invitation,Observational,Melanoma; Gastrointestinal Cancer; Metastatic Cancer; Breast Cancer; Non-Small Cell Lung Cancer,Anti-CD19 CAR PBL,,National Cancer Institute (NCI),,7000,2003-09-08,,United States,No,https://clinicaltrials.gov/study/NCT00068003
NCT01970696,International Ovarian & Testicular Stromal Tumor Registry,,Recruiting,Observational,Ovarian Sex-cord Stromal Tumor; Testicular Stromal Tumors; Ovarian Small Cell Carcinoma,,,Children's Hospitals and Clinics of Minnesota,"Children's National Research Institute; Dana-Farber Cancer Institute; Washington University School of Medicine; University of Texas Southwestern Medical Center; M.D. Anderson Cancer Center; Children's Hospital Colorado; Rutgers University; Massachusetts General Hospital; Klinikum Dortmund Wirbelsäulenchirurgie; ResourcePath, LLC; Allina Health System; Phoenix Children's Hospital; University of Cambridge",300,2011-12-08,2030-12-05,United States,No,https://clinicaltrials.gov/study/NCT01970696
NCT02178163,A Study to Assess the Ability to Initiate Therapy in Advanced Non-small Cell Lung Cancer (NSCLC) Patients Based on Genomic Analyses of Tumor Specimens.,Not Applicable,Recruiting,Interventional,Recurrent Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,cytology specimen collection procedure; laboratory biomarker analysis,,Barbara Ann Karmanos Cancer Institute,National Cancer Institute (NCI),1020,2014-08-01,2027-07-05,United States,No,https://clinicaltrials.gov/study/NCT02178163
NCT02596490,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,Not Applicable,Recruiting,Interventional,Lung Cancer,Questionnaires; Meditation and Discussion Sessions; Cancer-Related Discussion Program,,M.D. Anderson Cancer Center,"National Cancer Institute (NCI); American Cancer Society, Inc.",300,2016-04-06,2026-12-01,United States,No,https://clinicaltrials.gov/study/NCT02596490
NCT03465774,A Prospective Observational Cohort Study of Indwelling Pleural Catheters Versus Indwelling Pleural Catheters Plus Doxycycline Pleurodesis for Treatment of Malignant Pleural Effusions,,Recruiting,Observational,Pleural Neoplasm,Doxycycline; Indwelling Catheter; Quality-of-Life Assessment; Questionnaire Administration; Survey Administration,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),208,2018-03-08,2028-12-01,United States,No,https://clinicaltrials.gov/study/NCT03465774
NCT03586453,A Phase II Study of Osimertinib With On-study and Post-progression Biopsy in the First Line Treatment of EGFR Inhibitor naïve Advanced EGFR Mutant Lung Cancer,Phase 2,Recruiting,Interventional,"Carcinoma, Non-Small-Cell Lung",Osimertinib,,Dana-Farber Cancer Institute,AstraZeneca,30,2018-08-13,2027-03-01,United States,No,https://clinicaltrials.gov/study/NCT03586453
NCT03774758,Circulating Tumor DNA for Risk Stratification in Lung Cancer Screening,,Recruiting,Observational,Nodule Solitary Pulmonary; Non-small Cell Lung Cancer,Guardant Health ct-DNA LUNAR assay,,"University of California, San Francisco","Northern California Institute of Research and Education; Guardant Health, Inc.",590,2017-12-17,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT03774758
NCT03948100,"Dyadic Behavioral Interventions to Manage Physical Performance, Symptoms and Quality of Life for Patient Undergoing Radiotherapy and Their Family Caregivers",Not Applicable,Recruiting,Interventional,Esophageal Carcinoma; Lung Non-Small Cell Carcinoma; Stage I Lung Cancer AJCC v8; Stage IA1 Lung Cancer AJCC v8; Stage IA2 Lung Cancer AJCC v8; Stage IA3 Lung Cancer AJCC v8; Stage IB Lung Cancer AJCC v8; Stage II Lung Cancer AJCC v8; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8,Educational Intervention; Quality-of-Life Assessment; Questionnaire Administration; Yoga,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),400,2018-12-20,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03948100
NCT04083183,Targeted Astatine-211-Labeled BC8-B10 Monoclonal Antibody as Reduced Intensity Conditioning for Nonmalignant Diseases,Phase 1/Phase 2,Recruiting,Interventional,Non-Malignant Neoplasm,Astatine At 211 Anti-CD45 Monoclonal Antibody BC8-B10; Fludarabine; Cyclophosphamide; Lapine T-Lymphocyte Immune Globulin; Total-Body Irradiation; Hematopoietic Cell Transplantation; Mycophenolate Mofetil; Sirolimus; Bone Marrow Aspiration; Biospecimen Collection,,Fred Hutchinson Cancer Center,"National Heart, Lung, and Blood Institute (NHLBI)",40,2020-06-16,2028-01-09,United States,No,https://clinicaltrials.gov/study/NCT04083183
NCT04093167,"A Biomarker-Directed, Multi-Centre Phase II/III Study of CTDNA Response Adaptive Immuno-Chemotherapy in Non-Small Cell Lung Cancer",Phase 2/Phase 3,Recruiting,Interventional,Non-Small Cell Lung Cancer,Pembrolizumab,,Canadian Cancer Trials Group,"Cancer Research Institute, New York City; Personal Genome Diagnostics; Mark Foundation for Cancer Research",230,2020-05-26,2027-07-30,Canada; United States,No,https://clinicaltrials.gov/study/NCT04093167
NCT04130516,"A Multicenter Phase 1-2A Study to Assess the Safety, Tolerability, Pharmacokinetics, and Antitumor Activity of LNS8801 in Patients With Advanced Cancer With and Without Pembrolizumab",Phase 1/Phase 2,Recruiting,Interventional,"Solid Tumor, Adult","LNS8801 -Small molecule, orally bioavailable, selective agonist of GPER; Pembrolizumab - anti-PD-1 antibody",,"Linnaeus Therapeutics, Inc.",Merck Sharp & Dohme LLC,200,2019-10-21,2027-12-15,United States,No,https://clinicaltrials.gov/study/NCT04130516
NCT04155034,MRI Brain Surveillance Alone Versus MRI Surveillance and Prophylactic Cranial Irradiation (PCI): A Randomized Phase III Trial in Small-Cell Lung Cancer (MAVERICK),Phase 3,Recruiting,Interventional,Extensive Stage Lung Small Cell Carcinoma; Limited Stage Lung Small Cell Carcinoma; Lung Small Cell Carcinoma,Magnetic Resonance Imaging; Prophylactic Cranial Irradiation,,SWOG Cancer Research Network,National Cancer Institute (NCI),668,2020-05-04,2029-11-15,Canada; Chile; Colombia; Mexico; Saudi Arabia; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04155034
NCT04181060,Randomized Phase III Study of Combination Osimertinib (AZD9291) and Bevacizumab Versus Osimertinib (AZD9291) Alone as First-Line Treatment for Patients With Metastatic EGFR-Mutant Non-Small Cell Lung Cancer (NSCLC),Phase 3,Recruiting,Interventional,Advanced Lung Non-Squamous Non-Small Cell Carcinoma; Metastatic Lung Non-Squamous Non-Small Cell Carcinoma; Recurrent Lung Non-Squamous Non-Small Cell Carcinoma; Stage IIIB Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8,Bevacizumab; Biospecimen Collection; Computed Tomography; Echocardiography Test; Magnetic Resonance Imaging; Multigated Acquisition Scan; Osimertinib,,National Cancer Institute (NCI),,300,2020-12-28,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04181060
