nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT01365169,"""CYCORE: Cyberinfrastructure for Comparative Effectiveness Research - Feasibility Trial""",Not Applicable,Recruiting,Interventional,Malignant Head and Neck Neoplasm; Malignant Neoplasm; Metastatic Malignant Neoplasm in the Neck; Metastatic Malignant Neoplasm in the Uterine Cervix; Pancreatic Adenocarcinoma; Pancreatic Neuroendocrine Carcinoma; Recurrent Colorectal Carcinoma; Stage I Colorectal Cancer AJCC v6 and v7; Stage I Hypopharyngeal Carcinoma AJCC v7; Stage I Major Salivary Gland Cancer AJCC v7; Stage I Nasopharyngeal Carcinoma AJCC v7; Stage I Oral Cavity Cancer AJCC v6 and v7; Stage I Oropharyngeal Carcinoma AJCC v6 and v7; Stage II Colorectal Cancer AJCC v7; Stage II Hypopharyngeal Carcinoma AJCC v6 and v7; Stage II Major Salivary Gland Cancer AJCC v7; Stage II Nasopharyngeal Carcinoma AJCC v7; Stage II Oral Cavity Cancer AJCC v6 and v7; Stage II Oropharyngeal Carcinoma AJCC v6 and v7; Stage IIA Colorectal Cancer AJCC v7; Stage IIB Colorectal Cancer AJCC v7; Stage IIC Colorectal Cancer AJCC v7; Stage III Colorectal Cancer AJCC v7; Stage III Hypopharyngeal Carcinoma AJCC v7; Stage III Laryngeal Cancer AJCC v6 and v7; Stage III Major Salivary Gland Cancer AJCC v7; Stage III Nasopharyngeal Carcinoma AJCC v7; Stage III Oral Cavity Cancer AJCC v6 and v7; Stage III Oropharyngeal Carcinoma AJCC v7; Stage IIIA Colorectal Cancer AJCC v7; Stage IIIB Colorectal Cancer AJCC v7; Stage IIIC Colorectal Cancer AJCC v7; Stage IV Colorectal Cancer AJCC v7; Stage IVA Colorectal Cancer AJCC v7; Stage IVA Hypopharyngeal Carcinoma AJCC v7; Stage IVA Laryngeal Cancer AJCC v7; Stage IVA Major Salivary Gland Cancer AJCC v7; Stage IVA Nasopharyngeal Carcinoma AJCC v7; Stage IVA Oral Cavity Cancer AJCC v6 and v7; Stage IVA Oropharyngeal Carcinoma AJCC v7; Stage IVB Colorectal Cancer AJCC v7; Stage IVB Hypopharyngeal Carcinoma AJCC v7; Stage IVB Laryngeal Cancer AJCC v7; Stage IVB Major Salivary Gland Cancer AJCC v7; Stage IVB Nasopharyngeal Carcinoma AJCC v7; Stage IVB Oral Cavity Cancer AJCC v6 and v7; Stage IVB Oropharyngeal Carcinoma AJCC v7; Metastatic or Locally Unresectable Solid Tumor,Exercise Intervention; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Quality-of-Life Assessment; Questionnaire Administration; Health Telemonitoring,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),590,2011-05-25,2027-06-30,United States,No,https://clinicaltrials.gov/study/NCT01365169
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT03260491,"A Multicenter, Open-Label Phase 1 Study of U3-1402 in Subjects With Metastatic or Unresectable Non-small Cell Lung Cancer",Phase 1,Recruiting,Interventional,Non-Small Cell Lung Cancer (NSCLC),HER3-DXd (FL-DP); HER3-DXd (CTM-1 Lyo-DP); HER3-DXd (CTM-3 Lyo-DP),,Daiichi Sankyo,Merck Sharp & Dohme LLC,309,2017-10-30,2026-12-31,Japan; Netherlands; South Korea; Spain; Taiwan; United States,No,https://clinicaltrials.gov/study/NCT03260491
NCT04130516,"A Multicenter Phase 1-2A Study to Assess the Safety, Tolerability, Pharmacokinetics, and Antitumor Activity of LNS8801 in Patients With Advanced Cancer With and Without Pembrolizumab",Phase 1/Phase 2,Recruiting,Interventional,"Solid Tumor, Adult","LNS8801 -Small molecule, orally bioavailable, selective agonist of GPER; Pembrolizumab - anti-PD-1 antibody",,"Linnaeus Therapeutics, Inc.",Merck Sharp & Dohme LLC,200,2019-10-21,2027-12-15,United States,No,https://clinicaltrials.gov/study/NCT04130516
NCT04220905,Large Polyp Study (LPS) III - Endoscopic Resection of Large Colorectal Polyps: An Observational Cohort Study,,Recruiting,Observational,Colonic Polyp; Colonoscopy; Complication; Recurrence; Duodenal Polyp,,,White River Junction Veterans Affairs Medical Center,,1500,2017-11-01,2025-05-05,United States,No,https://clinicaltrials.gov/study/NCT04220905
NCT04291105,Phase 2 Trial of Voyager V1 in Combination With Cemiplimab in Patients With Select Solid Tumors,Phase 2,Recruiting,Interventional,Melanoma; Head and Neck Squamous Cell Carcinoma; Colo-rectal Cancer,VV1; Cemiplimab,,"Vyriad, Inc.",Regeneron Pharmaceuticals,87,2020-04-24,2025-12-05,Brazil; United States,No,https://clinicaltrials.gov/study/NCT04291105
NCT04302025,"NAUTIKA1: A Multicenter, Phase II, Neoadjuvant and Adjuvant Study of Multiple Therapies in Biomarker-selected Patients With Resectable Stages IB-III Non-small Cell Lung Cancer",Phase 2,Recruiting,Interventional,Non-small Cell Lung Cancer,Alectinib; Entrectinib; Vemurafenib; Cobimetinib; Pralsetinib; Atezolizumab; SBRT; Resection; Chemotherapy; Divarasib,,"Genentech, Inc.",,99,2020-11-06,2030-05-30,United States,No,https://clinicaltrials.gov/study/NCT04302025
NCT04373564,Prospective Evaluation of Potential Effects of Repeated Gadolinium-based Contrast Agent (GBCA) Administrations of the Same GBCA on Motor and Cognitive Functions in Neurologically Normal Adults in Comparison to a Non-GBCA Exposed Control Group,Phase 4,Recruiting,Interventional,Motor Function; Cognitive Function; Contrast Media,Motor Tests; Cognitive Tests; Unenhanced-MRI of the brain; Gadolinium Measurements; Gadoxetate disodium; Gadobenate dimeglumine; Gadodiamide; Gadoterate meglumine; Gadobutrol; Gadoteridol,,Guerbet,Bayer AG (Sponsor); Bracco (Sponsor); GEHC (Sponsor),2076,2021-03-24,2028-12-31,Brazil; Canada; France; Germany; Italy; Russia; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04373564
NCT04421820,A Phase 1b/2a Dose Escalation Study of BOLD-100 in Combination With FOLFOX Chemotherapy in Patients With Advanced Solid Tumours,Phase 1/Phase 2,Recruiting,Interventional,Colorectal Cancer; Pancreatic Cancer; Gastric Cancers; Cholangiocarcinoma,BOLD-100 in combination with FOLFOX Chemotherapy (Dose Expansion); BOLD-100 in combination with FOLFOX Chemotherapy (Dose Escalation),,"Bold Therapeutics, Inc.",,220,2020-08-28,2026-09-01,Canada; Ireland; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04421820
