nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00068003,Cell Harvest and Preparation for Surgery Branch Treatment Protocols,,Enrolling by invitation,Observational,Melanoma; Gastrointestinal Cancer; Metastatic Cancer; Breast Cancer; Non-Small Cell Lung Cancer,Anti-CD19 CAR PBL,,National Cancer Institute (NCI),,7000,2003-09-08,,United States,No,https://clinicaltrials.gov/study/NCT00068003
NCT01638676,A Phase I/II Trial of Vemurafenib and Metformin to Unresectable Stage IIIC and Stage IV BRAF.V600E+ Melanoma Patients,Phase 1/Phase 2,Recruiting,Interventional,Melanoma,Vemurafenib; Metformin,,University of Louisville,James Graham Brown Cancer Center,55,2012-07-05,2027-06-05,United States,No,https://clinicaltrials.gov/study/NCT01638676
NCT01776905,In Vivo Real-time Detection of Circulating Melanoma Cells,,Recruiting,Observational,Melanoma,,,University of Arkansas,,75,2013-02-05,2026-07-05,United States,No,https://clinicaltrials.gov/study/NCT01776905
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02279004,A Prospective Study of Plasma Genotyping as a Noninvasive Biomarker for Genotype-directed Cancer Care,,Recruiting,Observational,NSCLC; Melanoma,,,Dana-Farber Cancer Institute,Damon Runyon Cancer Research Foundation,840,2014-07-03,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT02279004
NCT02332668,"A Phase I/II Study of Pembrolizumab (MK-3475) in Children With Advanced Melanoma or a PD-L1 Positive Advanced, Relapsed or Refractory Solid Tumor or Lymphoma (KEYNOTE-051)",Phase 1/Phase 2,Recruiting,Interventional,Melanoma; Lymphoma; Solid Tumor; Classical Hodgkin Lymphoma; Microsatellite-instability-high Solid Tumor,Pembrolizumab,,Merck Sharp & Dohme LLC,,370,2015-03-18,2027-10-25,Brazil; France; Germany; Israel; Italy; Netherlands; Portugal; South Korea; Sweden; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT02332668
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT02339571,Randomized Phase II/III Study of Nivolumab Plus Ipilimumab Plus Sargramostim Versus Nivolumab Plus Ipilimumab in Patients With Unresectable Stage III or Stage IV Melanoma,Phase 2/Phase 3,Recruiting,Interventional,Stage III Cutaneous Melanoma AJCC v7; Stage IV Cutaneous Melanoma AJCC v6 and v7,Biospecimen Collection; Computed Tomography; Echocardiography Test; Ipilimumab; Magnetic Resonance Elastography; Multigated Acquisition Scan; Nivolumab; Sargramostim,,National Cancer Institute (NCI),,600,2015-11-23,2033-06-30,United States,No,https://clinicaltrials.gov/study/NCT02339571
NCT02402244,"The Project: EveryChild Protocol: A Registry, Eligibility Screening, Biology and Outcome Study",,Recruiting,Observational,Adrenal Gland Pheochromocytoma; Carcinoma In Situ; Central Nervous System Neoplasm; Childhood Immature Teratoma; Childhood Kidney Neoplasm; Childhood Langerhans Cell Histiocytosis; Childhood Mature Teratoma; Congenital Mesoblastic Nephroma; Desmoid Fibromatosis; Ganglioneuroma; Lymphoproliferative Disorder; Malignant Neoplasm; Malignant Solid Neoplasm; Melanocytic Neoplasm; Myeloproliferative Neoplasm; Neoplasm of Uncertain Malignant Potential; Neuroendocrine Neoplasm; Stromal Neoplasm,Cytology Specimen Collection Procedure; Medical Chart Review,,Children's Oncology Group,National Cancer Institute (NCI),75000,2015-11-03,2030-12-31,Australia; Canada; New Zealand; Puerto Rico; Saudi Arabia; United States,No,https://clinicaltrials.gov/study/NCT02402244
NCT02670707,Randomization of Cytarabine Monotherapy Versus Standard-of-Care Vinblastine/Prednisone for Frontline Treatment of Langerhans Cell Histiocytosis (TXCH LCH0115),Phase 3,Recruiting,Interventional,Langerhans Cell Histiocytosis,Cytarabine; Vinblastine/prednisone,,Baylor College of Medicine,,124,2016-03-07,2029-01-05,United States,No,https://clinicaltrials.gov/study/NCT02670707
