nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00977977,Rituximab Plus Cyclosporine in Idiopathic Membranous Nephropathy,Phase 2,Recruiting,Interventional,Nephrotic Syndrome; Proteinuria; Autoimmune Disease; Glomerular Disease; Membranous Glomerulonephritis,Rituximab Infusion; Oral Cyclosporine,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,30,2010-12-22,2027-12-31,United States,No,https://clinicaltrials.gov/study/NCT00977977
NCT01356290,"A Phase II Study of Metronomic and Targeted Anti-angiogenesis Therapy for Children with Recurrent/progressive Medulloblastoma, Ependymoma and ATRT",Phase 2,Recruiting,Interventional,Medulloblastoma Recurrent; Ependymoma Recurrent; ATRT Recurrent,Bevacizumab; Thalidomide; Celecoxib; Fenofibric acid; Etoposide; Cyclophosphamide; Etoposide phosphate; Cytarabine,,Medical University of Vienna,,100,2014-04-05,2030-04-05,Austria; Czechia; Denmark; France; Norway; Spain; Sweden; United States,No,https://clinicaltrials.gov/study/NCT01356290
NCT02332668,"A Phase I/II Study of Pembrolizumab (MK-3475) in Children With Advanced Melanoma or a PD-L1 Positive Advanced, Relapsed or Refractory Solid Tumor or Lymphoma (KEYNOTE-051)",Phase 1/Phase 2,Recruiting,Interventional,Melanoma; Lymphoma; Solid Tumor; Classical Hodgkin Lymphoma; Microsatellite-instability-high Solid Tumor,Pembrolizumab,,Merck Sharp & Dohme LLC,,370,2015-03-18,2027-10-25,Brazil; France; Germany; Israel; Italy; Netherlands; Portugal; South Korea; Sweden; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT02332668
NCT02476786,Endocrine Treatment Alone as Primary Treatment for Elderly Patients With Estrogen Receptor Positive Operable Breast Cancer and Low Recurrence Score,Phase 2,Recruiting,Interventional,Breast Cancer; Cancer of Breast; Breast Neoplasms; Cancer of the Breast,FACT-B; Goserelin; Anastrozole; Exemestane; Fulvestrant; Tamoxifen; Archived tissue collection,,Washington University School of Medicine,"Genomic Health®, Inc.",50,2017-01-17,2032-07-31,United States,No,https://clinicaltrials.gov/study/NCT02476786
NCT02945579,Multicenter Trial for Eliminating Breast Cancer Surgery or Radiotherapy in Exceptional Responders to Neoadjuvant Systemic Therapy,Not Applicable,Recruiting,Interventional,Estrogen Receptor Negative; HER2 Positive Breast Carcinoma; HER2/Neu Negative; Invasive Breast Carcinoma; Progesterone Receptor Negative; Stage I Breast Cancer AJCC v7; Stage IA Breast Cancer AJCC v7; Stage IB Breast Cancer AJCC v7; Stage II Breast Cancer AJCC v6 and v7; Stage IIA Breast Cancer AJCC v6 and v7; Stage IIB Breast Cancer AJCC v6 and v7; Triple-Negative Breast Carcinoma,Undergo EBRT; Laboratory Biomarker Analysis; Quality-of-Life Assessment; Questionnaire Administration; Partial Breast Irradiation,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),120,2017-01-20,2026-01-31,United States,No,https://clinicaltrials.gov/study/NCT02945579
NCT03723928,Randomized Non-Inferiority Trial Comparing Overall Survival of Patients Monitored With Serum Tumor Marker Directed Disease Monitoring (STMDDM) Versus Usual Care in Patients With Metastatic Hormone Receptor Positive Breast Cancer,Not Applicable,Recruiting,Interventional,Anatomic Stage IV Breast Cancer AJCC v8; Estrogen Receptor Positive; HER2/Neu Negative; Progesterone Receptor Positive; Prognostic Stage IV Breast Cancer AJCC v8; Elevated CA15-3 or CEA or CA27-29,Usual care disease monitoring; Serum Tumor Marker directed disease monitoring; Quality-of-Life Assessment; Anxiety Questionnaire Administration,,SWOG Cancer Research Network,National Cancer Institute (NCI),739,2018-09-17,2036-12-01,Guam; Puerto Rico; United States,No,https://clinicaltrials.gov/study/NCT03723928
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03971409,"Innovative Combination Immunotherapy for Metastatic Triple Negative Breast Cancer (TNBC): A Multicenter, Multi-Arm Translational Breast Cancer Research Consortium Study",Phase 2,Recruiting,Interventional,Stage III Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer; Stage IV Breast Cancer; Invasive Breast Carcinoma; Recurrent Breast Carcinoma; Triple-Negative Breast Carcinoma; Unresectable Breast Carcinoma,Anti-OX40 Antibody PF-04518600; Avelumab; Binimetinib; Utomilumab; Liposomal Doxorubicin; Sacituzumab Govitecan,,"Laura Huppert, MD, BA",Translational Breast Cancer Research Consortium; Hoosier Cancer Research Network; Array BioPharma; Pfizer; Breast Cancer Research Foundation; Johns Hopkins University; Gilead Sciences,150,2019-07-08,2026-06-30,United States,No,https://clinicaltrials.gov/study/NCT03971409
NCT04074720,Prospective Breast Cancer Biospecimen Collection,,Recruiting,Observational,Breast Cancer; Invasive Breast Cancer; Carcinoma in Situ of the Breast,Tissue Sample collection; Blood Sample Collection; Rectal Swab,,Thomas Jefferson University,,200,2018-05-10,2028-07-01,United States,No,https://clinicaltrials.gov/study/NCT04074720
NCT04219254,"A Phase 1/2a Clinical Trial of BI-1206, a Monoclonal Antibody to CD32b (FcγRIIB), in Combination With Pembrolizumab in Subjects With Advanced Solid Tumors Previously Treated With Anti-PD-1 or Anti-PD-L1 Antibodies (KEYNOTE-A04)",Phase 1/Phase 2,Recruiting,Interventional,"Solid Tumor, Adult",BI1206,,BioInvent International AB,Merck Sharp & Dohme LLC,197,2020-06-29,2027-11-05,Sweden; United States,No,https://clinicaltrials.gov/study/NCT04219254
