nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT01365169,"""CYCORE: Cyberinfrastructure for Comparative Effectiveness Research - Feasibility Trial""",Not Applicable,Recruiting,Interventional,Malignant Head and Neck Neoplasm; Malignant Neoplasm; Metastatic Malignant Neoplasm in the Neck; Metastatic Malignant Neoplasm in the Uterine Cervix; Pancreatic Adenocarcinoma; Pancreatic Neuroendocrine Carcinoma; Recurrent Colorectal Carcinoma; Stage I Colorectal Cancer AJCC v6 and v7; Stage I Hypopharyngeal Carcinoma AJCC v7; Stage I Major Salivary Gland Cancer AJCC v7; Stage I Nasopharyngeal Carcinoma AJCC v7; Stage I Oral Cavity Cancer AJCC v6 and v7; Stage I Oropharyngeal Carcinoma AJCC v6 and v7; Stage II Colorectal Cancer AJCC v7; Stage II Hypopharyngeal Carcinoma AJCC v6 and v7; Stage II Major Salivary Gland Cancer AJCC v7; Stage II Nasopharyngeal Carcinoma AJCC v7; Stage II Oral Cavity Cancer AJCC v6 and v7; Stage II Oropharyngeal Carcinoma AJCC v6 and v7; Stage IIA Colorectal Cancer AJCC v7; Stage IIB Colorectal Cancer AJCC v7; Stage IIC Colorectal Cancer AJCC v7; Stage III Colorectal Cancer AJCC v7; Stage III Hypopharyngeal Carcinoma AJCC v7; Stage III Laryngeal Cancer AJCC v6 and v7; Stage III Major Salivary Gland Cancer AJCC v7; Stage III Nasopharyngeal Carcinoma AJCC v7; Stage III Oral Cavity Cancer AJCC v6 and v7; Stage III Oropharyngeal Carcinoma AJCC v7; Stage IIIA Colorectal Cancer AJCC v7; Stage IIIB Colorectal Cancer AJCC v7; Stage IIIC Colorectal Cancer AJCC v7; Stage IV Colorectal Cancer AJCC v7; Stage IVA Colorectal Cancer AJCC v7; Stage IVA Hypopharyngeal Carcinoma AJCC v7; Stage IVA Laryngeal Cancer AJCC v7; Stage IVA Major Salivary Gland Cancer AJCC v7; Stage IVA Nasopharyngeal Carcinoma AJCC v7; Stage IVA Oral Cavity Cancer AJCC v6 and v7; Stage IVA Oropharyngeal Carcinoma AJCC v7; Stage IVB Colorectal Cancer AJCC v7; Stage IVB Hypopharyngeal Carcinoma AJCC v7; Stage IVB Laryngeal Cancer AJCC v7; Stage IVB Major Salivary Gland Cancer AJCC v7; Stage IVB Nasopharyngeal Carcinoma AJCC v7; Stage IVB Oral Cavity Cancer AJCC v6 and v7; Stage IVB Oropharyngeal Carcinoma AJCC v7; Metastatic or Locally Unresectable Solid Tumor,Exercise Intervention; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Health Telemonitoring; Quality-of-Life Assessment; Questionnaire Administration; Health Telemonitoring,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),590,2011-05-25,2027-06-30,United States,No,https://clinicaltrials.gov/study/NCT01365169
NCT02471170,Protocol to Permit the Acquisition of Circulating Tumor Material in Pancreatic Diseases,,Enrolling by invitation,Observational,Pancreatic Diseases,,,Abramson Cancer Center at Penn Medicine,,100,2015-09-10,2035-01-01,United States,No,https://clinicaltrials.gov/study/NCT02471170
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT02843945,Initial Feasibility Study to Evaluate the Safety and Efficacy of the Permanently Implantable LDR CivaSheet® in Combination With External Beam Radiation in the Treatment of Pancreatic Cancer,Phase 1/Phase 2,Recruiting,Interventional,Pancreatic Cancer,Directional Brachytherapy Source Implant,,CivaTech Oncology,,80,2017-05-31,2028-10-30,United States,No,https://clinicaltrials.gov/study/NCT02843945
NCT03080974,Immunotherapy and Irreversible Electroporation in the Treatment of Advanced Pancreatic Adenocarcinoma,Phase 2,Recruiting,Interventional,Pancreatic Adenocarcinoma,Nivolumab; Irreversible Electroporation,,University of Louisville,,10,2017-08-14,2029-04-01,United States,No,https://clinicaltrials.gov/study/NCT03080974
NCT03568630,A Longitudinal Cohort Study to Identify Clinical and Blood Markers of Early Pancreas Cancer,,Recruiting,Observational,"Diabetes Mellitus, Type 2; PreDiabetes; Pancreas Cyst; Chronic Pancreatitis; Genetic Predisposition to Disease; Inherited Disease",,,University of Nebraska,National Cancer Institute (NCI); Virginia Mason Hospital/Medical Center; VA Nebraska Western Iowa Health Care System,1250,2018-07-26,2028-07-05,United States,No,https://clinicaltrials.gov/study/NCT03568630
NCT03608631,Phase I Study of Mesenchymal Stromal Cells-Derived Exosomes With KrasG12D siRNA for Metastatic Pancreas Cancer Patients Harboring KrasG12D Mutation,Phase 1/Phase 2,Recruiting,Interventional,KRAS NP_004976.2:p.G12D; Metastatic Pancreatic Adenocarcinoma; Pancreatic Ductal Adenocarcinoma; Stage IV Pancreatic Cancer AJCC v8,Mesenchymal Stromal Cells-derived Exosomes with KRAS G12D siRNA,,M.D. Anderson Cancer Center,,28,2021-01-27,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03608631
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03745326,A Phase I/II Study Administering Peripheral Blood Lymphocytes Transduced With a Murine T-Cell Receptor Recognizing the G12D Variant of Mutated RAS in HLA-A*11:01 Patients,Phase 1/Phase 2,Recruiting,Interventional,Gastrointestinal Cancer; Pancreatic Cancer; Gastric Cancer; Colon Cancer; Rectal Cancer,Cyclophosphamide; Fludarabine; Aldesleukin; anti-KRAS G12D mTCR PBL,,National Cancer Institute (NCI),,70,2019-05-16,2028-12-01,United States,No,https://clinicaltrials.gov/study/NCT03745326
NCT03977233,Impact of Tumor and Stromal Subtypes on Efficacy of Neoadjuvant FOLFIRINOX in Subjects With Non-Metastatic Pancreatic Cancer,Phase 2,Recruiting,Interventional,"Pancreatic Ductal Adenocarcinoma (PDAC); Cancer of Pancreas; Pancreatic Cancer, Adult; Pancreas Adenocarcinoma; Pancreatic Neoplasms; Pancreatic Cancer Non-resectable; Pancreatic Cancer Resectable",Oxaliplatin; Leucovorin; Irinotecan Hydrochloride; 5-FU,,UNC Lineberger Comprehensive Cancer Center,,45,2019-06-12,2030-01-05,United States,No,https://clinicaltrials.gov/study/NCT03977233
