nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00068003,Cell Harvest and Preparation for Surgery Branch Treatment Protocols,,Enrolling by invitation,Observational,Melanoma; Gastrointestinal Cancer; Metastatic Cancer; Breast Cancer; Non-Small Cell Lung Cancer,Anti-CD19 CAR PBL,,National Cancer Institute (NCI),,7000,2003-09-08,,United States,No,https://clinicaltrials.gov/study/NCT00068003
NCT00900419,Biomarkers and Dysplastic Respiratory Epithelium,,Recruiting,Observational,Esophageal Cancer; Head and Neck Cancer; Lung Cancer; Precancerous Condition,immunohistochemistry staining method; laboratory biomarker analysis; sputum cytology; biopsy,,"University of Colorado, Denver",National Cancer Institute (NCI),700,2001-05-03,2027-09-30,United States,No,https://clinicaltrials.gov/study/NCT00900419
NCT02178163,A Study to Assess the Ability to Initiate Therapy in Advanced Non-small Cell Lung Cancer (NSCLC) Patients Based on Genomic Analyses of Tumor Specimens.,Not Applicable,Recruiting,Interventional,Recurrent Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,cytology specimen collection procedure; laboratory biomarker analysis,,Barbara Ann Karmanos Cancer Institute,National Cancer Institute (NCI),1020,2014-08-01,2027-07-05,United States,No,https://clinicaltrials.gov/study/NCT02178163
NCT02596490,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,Not Applicable,Recruiting,Interventional,Lung Cancer,Questionnaires; Meditation and Discussion Sessions; Cancer-Related Discussion Program,,M.D. Anderson Cancer Center,"National Cancer Institute (NCI); American Cancer Society, Inc.",300,2016-04-06,2026-12-01,United States,No,https://clinicaltrials.gov/study/NCT02596490
NCT03476681,Phase 1/2 With Expansion Cohorts in a Study of NEO-201 in Adults With Chemo-Resistant Solid Tumors,Phase 1/Phase 2,Recruiting,Interventional,Non Small Cell Lung Cancer; Head and Neck Squamous Cell Carcinoma; Cervical Cancer; Uterine Cancer,NEO-201 in combination with pembrolizumab,,"Precision Biologics, Inc",,121,2019-01-18,2029-01-15,United States,No,https://clinicaltrials.gov/study/NCT03476681
NCT03586453,A Phase II Study of Osimertinib With On-study and Post-progression Biopsy in the First Line Treatment of EGFR Inhibitor naïve Advanced EGFR Mutant Lung Cancer,Phase 2,Recruiting,Interventional,"Carcinoma, Non-Small-Cell Lung",Osimertinib,,Dana-Farber Cancer Institute,AstraZeneca,30,2018-08-13,2027-03-01,United States,No,https://clinicaltrials.gov/study/NCT03586453
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03774758,Circulating Tumor DNA for Risk Stratification in Lung Cancer Screening,,Recruiting,Observational,Nodule Solitary Pulmonary; Non-small Cell Lung Cancer,Guardant Health ct-DNA LUNAR assay,,"University of California, San Francisco","Northern California Institute of Research and Education; Guardant Health, Inc.",590,2017-12-17,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT03774758
NCT03948100,"Dyadic Behavioral Interventions to Manage Physical Performance, Symptoms and Quality of Life for Patient Undergoing Radiotherapy and Their Family Caregivers",Not Applicable,Recruiting,Interventional,Esophageal Carcinoma; Lung Non-Small Cell Carcinoma; Stage I Lung Cancer AJCC v8; Stage IA1 Lung Cancer AJCC v8; Stage IA2 Lung Cancer AJCC v8; Stage IA3 Lung Cancer AJCC v8; Stage IB Lung Cancer AJCC v8; Stage II Lung Cancer AJCC v8; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8,Educational Intervention; Quality-of-Life Assessment; Questionnaire Administration; Yoga,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),400,2018-12-20,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03948100
NCT03987555,Pilot Feasibility Study of Paclitaxel Therapeutic Drug Monitoring in Cancer Patients,,Recruiting,Observational,"Solid Tumor, Adult; Metastatic Nonsmall Cell Lung Cancer; Anatomic Stage IV Breast Cancer AJCC v8; Metastatic Cervical Carcinoma; Metastatic Ovarian Carcinoma; Malignant Uterine Neoplasm; Vulvar Cancer; Invasive Breast Cancer; Metastatic Breast Carcinoma; Prognostic Stage IV Breast Cancer AJCC v8; Recurrent Breast Carcinoma; Recurrent Cervical Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Recurrent Ovarian Carcinoma; Recurrent Vulvar Carcinoma; Stage IV Cervical Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IV Vulvar Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IVA Cervical Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVA Ovarian Cancer AJCC v8; Stage IVA Vulvar Cancer AJCC v8; Stage IVB Cervical Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8; Stage IVB Ovarian Cancer AJCC v8; Stage IVB Vulvar Cancer AJCC v8; Vulva Squamous Cell Carcinoma",Blood draws; QLQ-CIPN20 Survey; PR-CTCAE Survey,,Wake Forest University Health Sciences,National Cancer Institute (NCI),20,2019-11-11,2026-07-05,United States,No,https://clinicaltrials.gov/study/NCT03987555
