nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT01441089,Collection of Blood From Therapeutic Trial Participants for Analysis of Genetic Differences in Drug Disposition and Pharmacokinetics of Probe Medications,,Recruiting,Observational,Prostate Cancer; Breast Cancer; Lung Cancer; Ovarian Cancer; Lymphoma,,,National Cancer Institute (NCI),,1100,2012-05-21,,United States,No,https://clinicaltrials.gov/study/NCT01441089
NCT01913106,Phase I-II Study HSV-tk + Valacyclovir Therapy in Combination With Brachytherapy for Recurrent Prostate Cancer With or Without Metastatic Disease,Phase 1/Phase 2,Recruiting,Interventional,Prostatic Neoplasms,HSV-tk +Valacyclovir in Combination with Brachytherapy,,The Methodist Hospital Research Institute,,25,2007-06-05,2028-12-05,United States,No,https://clinicaltrials.gov/study/NCT01913106
NCT02000089,The Cancer of the Pancreas Screening-5 CAPS5)Study,Phase 3,Recruiting,Interventional,Pancreas Cancer; Peutz-Jeghers Syndrome (PJS); Gene Mutation; Germline Mutation Carrier; Lynch Syndrome,Secretin; MRI; Tumor marker gene test with CA19-9,,Johns Hopkins University,National Cancer Institute (NCI); National Institutes of Health (NIH); American Association for Cancer Research,9000,2014-01-06,2029-06-05,United States,No,https://clinicaltrials.gov/study/NCT02000089
NCT02302742,"PROspective Evaluation of GErmline Mutations, Cancer Outcome and Tissue Biomarkers: A Registry for Patients With Triple Negative Breast Cancer and Germline Mutations",,Recruiting,Observational,Breast Cancer; Hereditary Breast and Ovarian Cancer,,,University of Kansas Medical Center,,1500,2011-03-22,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT02302742
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT02861573,Phase Ib/II Trial of Pembrolizumab (MK-3475) Combination Therapies in Metastatic Castration-Resistant Prostate Cancer (mCRPC) (KEYNOTE-365),Phase 1/Phase 2,Recruiting,Interventional,Metastatic Castration-Resistant Prostate Cancer,Pembrolizumab 200 mg; Olaparib 400 mg; Docetaxel 75 mg/m^2; Prednisone 5 mg; Enzalutamide 160 mg; Dexamethasone 8 mg; Olaparib 300 mg; Abiraterone acetate 1000 mg; Lenvatinib; Pembrolizumab/Vibostolimab coformulation; Carboplatin; Etoposide; Belzutifan 120mg,,Merck Sharp & Dohme LLC,,1200,2016-11-17,2027-10-22,Australia; Canada; Denmark; France; Ireland; Italy; Mexico; Netherlands; New Zealand; Poland; Spain; Sweden; Turkey (Türkiye); United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT02861573
NCT03474913,Feasibility and Efficacy of Upright MP - MRI for Prostate Cancer Screening,,Recruiting,Observational,Prostate Cancer; Elevated PSA; Elevated Prostate Specific Antigen,Upright MRI; Standard MRI,,Icahn School of Medicine at Mount Sinai,The Fonar Corporation,550,2018-10-01,2026-07-01,United States,No,https://clinicaltrials.gov/study/NCT03474913
NCT03492424,Ablative Therapy in the Management of Prostate Cancer,,Recruiting,Observational,Prostate Cancer,cryotherapy,,Weill Medical College of Cornell University,Prostate Cancer Foundation,200,2018-01-02,2039-09-02,United States,No,https://clinicaltrials.gov/study/NCT03492424
NCT03568630,A Longitudinal Cohort Study to Identify Clinical and Blood Markers of Early Pancreas Cancer,,Recruiting,Observational,"Diabetes Mellitus, Type 2; PreDiabetes; Pancreas Cyst; Chronic Pancreatitis; Genetic Predisposition to Disease; Inherited Disease",,,University of Nebraska,National Cancer Institute (NCI); Virginia Mason Hospital/Medical Center; VA Nebraska Western Iowa Health Care System,1250,2018-07-26,2028-07-05,United States,No,https://clinicaltrials.gov/study/NCT03568630
NCT03574571,Phase III Trial of Docetaxel vs. Docetaxel and Radium-223 for Metastatic Castration-Resistant Prostate Cancer (mCRPC),Phase 3,Recruiting,Interventional,Prostate Cancer,Docetaxel 75 mg/m2; Docetaxel 60 mg/m2; Radium-223,,Memorial Sloan Kettering Cancer Center,Bayer,738,2018-06-19,2027-04-01,Brazil; Netherlands; Spain; United States,No,https://clinicaltrials.gov/study/NCT03574571
NCT03620786,High-Intensity Focused Ultrasound for Focal Ablation of Prostate Tissue: An Observational Study of Multiparametric MRI and Ultrasound Fusion Imaging for Guidance,,Recruiting,Observational,Prostate Cancer,Sonablate HIFU device,,"University of California, Los Angeles",,100,2018-09-26,2028-01-31,United States,No,https://clinicaltrials.gov/study/NCT03620786
NCT03802851,HoLEP Prior to Radiation Therapy for Patients With LUTS/Retention and Concurrent Prostate Cancer,Not Applicable,Recruiting,Interventional,Prostate Cancer; Lower Urinary Tract Symptoms,Holmium Laser Enucleation of Prostate (HoLEP),,University of Kansas Medical Center,,30,2019-09-19,2035-01-05,United States,No,https://clinicaltrials.gov/study/NCT03802851
NCT03972657,A Phase 1/2 Study of REGN5678 (Anti-PSMAxCD28) With or Without Cemiplimab (Anti-PD-1) in Patients With Metastatic Castration-Resistant Prostate Cancer and Other Tumors Associated With PSMA Expression,Phase 1/Phase 2,Recruiting,Interventional,Metastatic Castration-Resistant Prostate Cancer (mCRPC); Clear Cell Renal Cell Carcinoma (ccRCC),REGN5678; Cemiplimab,,Regeneron Pharmaceuticals,,345,2019-08-12,2027-11-15,United States,No,https://clinicaltrials.gov/study/NCT03972657
NCT04038502,"An Open-label, Multicenter Phase II Study to Compare the Efficacy of Carboplatin as First-line Followed by Second-line Olaparib Versus Olaparib as First-line Followed by Second-line Carboplatin in the Treatment of Patients With Castration Resistant Prostate Cancer Containing Homologous Recombination Deficiency",Phase 2,Recruiting,Interventional,"Metastatic Castrate Resistant Prostate Cancer; BARD1, BRCA1, BRCA2, BRIP1, CHEK1, FANCL, PALB2; RAD51B, RAD51C, RAD51D, or RAD54L Mutations",Carboplatin; Olaparib,,VA Office of Research and Development,,100,2019-10-01,2027-08-31,United States,No,https://clinicaltrials.gov/study/NCT04038502
