nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT02332668,"A Phase I/II Study of Pembrolizumab (MK-3475) in Children With Advanced Melanoma or a PD-L1 Positive Advanced, Relapsed or Refractory Solid Tumor or Lymphoma (KEYNOTE-051)",Phase 1/Phase 2,Recruiting,Interventional,Melanoma; Lymphoma; Solid Tumor; Classical Hodgkin Lymphoma; Microsatellite-instability-high Solid Tumor,Pembrolizumab,,Merck Sharp & Dohme LLC,,370,2015-03-18,2027-10-25,Brazil; France; Germany; Israel; Italy; Netherlands; Portugal; South Korea; Sweden; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT02332668
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT02366819,PERIOP-FOLFIRINOX: A Pilot Trial of Perioperative Genotype-guided Irinotecan Dosing of gFOLFIRINOX for Locally Advanced Gastroesophageal Adenocarcinoma,Phase 4,Recruiting,Interventional,Esophageal Adenocarcinoma; Gastric Adenocarcinoma; Stage IIB Gastric Cancer; Stage IIIA Esophageal Adenocarcinoma; Stage IIIA Gastric Cancer; Stage IIIB Esophageal Adenocarcinoma; Stage IIIB Gastric Cancer; Stage IIIC Esophageal Adenocarcinoma; Stage IIIC Gastric Cancer,Oxaliplatin; Leucovorin Calcium; Irinotecan Hydrochloride; Fluorouracil; Conventional Surgery,,University of Chicago,National Cancer Institute (NCI),36,2014-12-11,2026-06-08,United States,No,https://clinicaltrials.gov/study/NCT02366819
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT03607890,Phase 2 Study of Nivolumab and Relatlimab in Advanced Mismatch Repair Deficient Cancers Resistant to Prior PD-(L)1 Inhibitor,Phase 2,Recruiting,Interventional,Refractory MSI - H Solid Tumors Prior of PD-(L) 1 Therapy; MSI-H Tumors,Nivolumab; Relatlimab; Nivolumab; Relatlimab; Nivolumab; Relatlimab,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Bristol-Myers Squibb; National Cancer Institute (NCI),42,2018-11-16,2026-10-05,United States,No,https://clinicaltrials.gov/study/NCT03607890
NCT03723928,Randomized Non-Inferiority Trial Comparing Overall Survival of Patients Monitored With Serum Tumor Marker Directed Disease Monitoring (STMDDM) Versus Usual Care in Patients With Metastatic Hormone Receptor Positive Breast Cancer,Not Applicable,Recruiting,Interventional,Anatomic Stage IV Breast Cancer AJCC v8; Estrogen Receptor Positive; HER2/Neu Negative; Progesterone Receptor Positive; Prognostic Stage IV Breast Cancer AJCC v8; Elevated CA15-3 or CEA or CA27-29,Usual care disease monitoring; Serum Tumor Marker directed disease monitoring; Quality-of-Life Assessment; Anxiety Questionnaire Administration,,SWOG Cancer Research Network,National Cancer Institute (NCI),739,2018-09-17,2036-12-01,Guam; Puerto Rico; United States,No,https://clinicaltrials.gov/study/NCT03723928
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03935893,A Phase 2 Study to Evaluate the Efficacy and Safety of Adoptive Transfer of Autologous Tumor Infiltrating Lymphocytes in Patients With Advanced Solid Cancers,Phase 2,Recruiting,Interventional,Gastric Cancer; Colorectal Cancer; Pancreatic Cancer; Sarcoma; Mesothelioma; Neuroendocrine Tumors; Squamous Cell Cancer; Merkel Cell Carcinoma; Mismatch Repair Deficiency; Microsatellite Instability,Tumor Infiltrating Lymphocytes (TIL); Fludarabine + Cyclophosphamide combination,,Udai Kammula,,240,2019-12-03,2038-06-30,United States,No,https://clinicaltrials.gov/study/NCT03935893
NCT04074720,Prospective Breast Cancer Biospecimen Collection,,Recruiting,Observational,Breast Cancer; Invasive Breast Cancer; Carcinoma in Situ of the Breast,Tissue Sample collection; Blood Sample Collection; Rectal Swab,,Thomas Jefferson University,,200,2018-05-10,2028-07-01,United States,No,https://clinicaltrials.gov/study/NCT04074720
NCT04107077,A Phase IIa Study of Laparoscopic Hyperthermic Intraperitoneal Chemotherapy (HIPEC) and PD-L1 Expression in Gastric Cancer With Peritoneal Metastases,Phase 2,Recruiting,Interventional,Gastric Cancer; Peritoneal Carcinomatosis,Cisplatin; Mitomycin,,University of Chicago,,21,2025-09-09,2026-06-01,United States,No,https://clinicaltrials.gov/study/NCT04107077
