nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT03739827,Natural History and Biospecimen Acquisition Study for Children and Adults With Rare Solid Tumors,,Recruiting,Observational,Malignant Solid Tumors; Other Neoplasms Solid Tumors; Pediatric Solid Tumor; Refractory Solid Tumors; Solid Tumor,,,National Cancer Institute (NCI),,10000,2019-01-28,2032-03-31,United States,No,https://clinicaltrials.gov/study/NCT03739827
NCT03812653,Sleep for Stroke Management and Recovery Trial,Not Applicable,Recruiting,Interventional,"Ischemic Stroke; Sleep Apnea; Sleep Apnea, Obstructive; Stroke; CPAP; Telemedicine; Home Sleep Apnea Test; Randomized Clinical Trial; Multicenter Trial",CPAP,,University of Michigan,National Institute of Neurological Disorders and Stroke (NINDS); FusionHealth LLC; Medical University of South Carolina; University of Cincinnati,3062,2019-05-09,2026-11-05,United States,No,https://clinicaltrials.gov/study/NCT03812653
NCT04256018,"A Phase 2 Single Center, Single Arm, Open Label Mogamulizumab Combined Upfront With Low Dose Total Skin Electron Beam Therapy (LD TSEBT) in Patients With Mycosis Fungoides (MF) and Sézary Syndrome (SS)",Phase 2,Recruiting,Interventional,Sezary Syndrome; Mycosis Fungoides,Mogamulizumab; LD TSEBT,,Stanford University,,30,2020-03-30,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT04256018
NCT04458584,Restoration of Thumb Strength and Function in Basal Joint Arthritis: A Comparative Effectiveness Trial (RESTART),,Recruiting,Observational,Osteoarthritis Thumb,Trapeziectomy with ligament reconstruction (I; LRTI); Trapeziectomy with suture suspensionplasty (II; SS); Arthroscopic Trapeziectomy (III; AT),,Dartmouth-Hitchcock Medical Center,,165,2020-06-29,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04458584
NCT04471727,"A Phase 1/2 Open-label, Multicenter, Dose Escalation and Dose Expansion Study of the Safety, Tolerability, and Pharmacokinetics of HPN328 Monotherapy and HPN328 With Atezolizumab or Ifinatamab Deruxtecan (I-DXd) in Patients With Advanced Cancers Associated With Expression of Delta-like Canonical Notch Ligand 3 (DLL3).",Phase 1/Phase 2,Recruiting,Interventional,Small-Cell Lung Cancer; Neuroendocrine Carcinoma,Gocatamig; Atezolizumab; Ifinatamab Deruxtecan (I-DXd),,"Harpoon Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Daiichi Sankyo,232,2020-12-14,2027-11-03,United States,No,https://clinicaltrials.gov/study/NCT04471727
NCT04606446,"A PHASE 1/2A DOSE ESCALATION AND EXPANSION STUDY TO EVALUATE SAFETY, TOLERABILITY, PHARMACOKINETIC, PHARMACODYNAMIC, AND ANTI-TUMOR ACTIVITY OF PF-07248144 IN PARTICIPANTS WITH ADVANCED OR METASTATIC SOLID TUMORS",Phase 1,Recruiting,Interventional,Locally Advanced or Metastatic ER+ HER2- Breast Cancer; Locally Advanced or Metastatic Castration-resistant Prostate Cancer; Locally Advanced or Metastatic Non-small Cell Lung Cancer,"PF-07248144; Fulvestrant; Letrozole; Palbociclib; PF-07220060; PF-07850327, ARV-471, vepdegestrant",,Pfizer,,320,2020-11-16,2029-09-22,Australia; China; Japan; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04606446
NCT04995003,Phase I Study of HER2 Chimeric Antigen Receptor (CAR) T Cells in Combination With Checkpoint Blockade in Patients With Advanced Sarcoma (HEROS 3.0),Phase 1,Recruiting,Interventional,Sarcoma; HER-2 Protein Overexpression; Osteosarcoma; Rhabdomyosarcoma; Ewing Sarcoma; Synovial Sarcoma; Soft Tissue Sarcoma; Undifferentiated Sarcoma,T cells or CAR T cells; Pembrolizumab Injectable Product; Nivolumab Injectable Product,,Baylor College of Medicine,"Center for Cell and Gene Therapy, Baylor College of Medicine; The Faris Foundation USA; Stand Up To Cancer; Triumph Over Kid Cancer Foundation; St. Baldrick's Foundation; National Cancer Institute (NCI)",25,2021-12-07,2040-12-31,United States,No,https://clinicaltrials.gov/study/NCT04995003
NCT05068583,Liquid Biopsies in Non-CNS Malignant Pediatric Solid Tumors,,Recruiting,Observational,"Pediatric Solid Tumor, Unspecified, Protocol Specific",Blood Draw,,Children's Hospital Los Angeles,,320,2019-05-08,2034-05-08,United States,No,https://clinicaltrials.gov/study/NCT05068583
NCT05100862,"A Phase 3 Randomized, Open-Label Multicenter Study of Zanubrutinib (BGB-3111) Plus Anti-CD20 Antibodies Versus Lenalidomide Plus Rituximab in Patients With Relapsed/Refractory Follicular or Marginal Zone Lymphoma",Phase 3,Recruiting,Interventional,Relapsed/Refractory Follicular Lymphoma; Marginal Zone Lymphoma,Zanubrutinib; Rituximab; Lenalidomide; Obinutuzumab,,BeiGene,,780,2022-03-10,2030-06-05,Argentina; Australia; Austria; Belgium; Brazil; Bulgaria; Canada; China; Czechia; France; Georgia; Germany; Greece; Ireland; Israel; Italy; Japan; Poland; Portugal; Puerto Rico; Romania; South Africa; South Korea; Spain; Switzerland; Turkey (Türkiye); United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT05100862
NCT05103046,"A Phase 1, First in Human, Dose-Escalation Study of UCT-03-008 in Participants With Advanced Solid Tumors",Phase 1,Recruiting,Interventional,Advanced Solid Tumor,UCT-03-008,,"1200 Pharma, LLC",Translational Research in Oncology,68,2021-12-23,2025-12-15,United States,No,https://clinicaltrials.gov/study/NCT05103046
