nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00923507,"Natural History Study of Monoclonal B Cell Lymphocytosis (MBL), Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL), Lymphoplasmacytic Lymphoma (LPL)/Waldenstrom Macroglobulinemia (WM), and Splenic Marginal Zone Lymphoma (SMZL)",,Recruiting,Observational,Waldenstrom Macroglobulinemia; Lymphoplasmacytic Lymphoma; Monoclonal B-Cell Lymphocytosis; Small Lymphocytic Lymphoma; CLL (Chronic Lymphocytic Leukemia),,,"National Heart, Lung, and Blood Institute (NHLBI)",,1000,2008-05-29,,United States,No,https://clinicaltrials.gov/study/NCT00923507
NCT01962636,Umbilical Cord Blood Transplantation Using a Myeloablative Preparative Regimen for the Treatment of Hematological Diseases,Not Applicable,Recruiting,Interventional,Acute Myeloid Leukemia (AML); Acute Lymphocytic Leukemia (ALL); Chronic Myelogenous Leukemia; Plasma Cell Leukemia; Myelofibrosis; Myelodysplasia; Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Marginal Zone B-Cell Lymphoma; Follicular Lymphoma; Lymphoplasmacytic Lymphoma; Mantle-Cell Lymphoma; Prolymphocytic Leukemia; Diffuse Large B Cell Lymphoma; Lymphoblastic Lymphoma; Burkitt's Lymphoma; Non-Hodgkin Lymphoma; Multiple Myeloma,Fludarabine; Cyclophosphamide; Total Body Irradiation; Cyclosporine A; Mycophenylate mofetil; Umbilical cord blood,,"Masonic Cancer Center, University of Minnesota",,200,2016-12-05,2027-02-05,United States,No,https://clinicaltrials.gov/study/NCT01962636
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT03219450,"A Pilot Study of a Personalized Neoantigen Cancer Vaccine With and Without Low-Dose Cyclophosphamide or Pembrolizumab in Treatment Naïve, Asymptomatic Patients With IGHV Unmutated Chronic Lymphocytic Leukemia.",Phase 1,Recruiting,Interventional,Lymphocytic Leukemia,NeoVax; Cyclophosphamide; Pembrolizumab,,Dana-Farber Cancer Institute,"Oncovir, Inc.; BioNTech SE; Merck Sharp & Dohme LLC",15,2021-08-18,2028-03-31,United States,No,https://clinicaltrials.gov/study/NCT03219450
NCT03263572,Phase II Study of the Combination of Blinatumomab and Ponatinib in Patients With Philadelphia Chromosome (Ph)-Positive and/or BCR-ABL Positive Acute Lymphoblastic Leukemia (ALL),Phase 2,Recruiting,Interventional,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Acute Lymphoblastic Leukemia; BCR-ABL1 Fusion Protein Expression; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive; Recurrent Acute Lymphoblastic Leukemia; Refractory Acute Lymphoblastic Leukemia; t(9;22)",Blinatumomab; Cytarabine; Methotrexate; Ponatinib,,M.D. Anderson Cancer Center,National Cancer Institute (NCI); Amgen; Takeda,90,2017-11-29,2027-11-30,United States,No,https://clinicaltrials.gov/study/NCT03263572
NCT03516617,Randomized Phase 2 Study Comparing Acalabrutinib to Acalabrutinib and Obinutuzumab in the Treatment of Patients With Early-Stage Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL) Who Are at High Risk of Disease Progression,Phase 2,Recruiting,Interventional,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,Acalabrutinib; Laboratory Biomarker Analysis; Obinutuzumab; Patient Observation; Quality-of-Life Assessment,,Mayo Clinic,,120,2018-09-10,2030-10-16,United States,No,https://clinicaltrials.gov/study/NCT03516617
NCT03595917,"A Phase 1 Study of ABL001 in Combination With Dasatinib, Prednisone, and Blinatumomab in Patients With BCR-ABL Positive (BCR-ABL+) B-cell Acute Lymphoblastic Leukemia (B-ALL) and Chronic Myeloid Leukemia (CML)",Phase 1,Recruiting,Interventional,B-cell Acute Lymphoblastic Leukemia; Chronic Myeloid Leukemia (CML) in Lymphoid Blast Crisis; Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia Ph+ ALL,ABL001; Dasatinib; Prednisone; Blinatumomab,,"Marlise Luskin, MD",Novartis,40,2018-07-24,2027-11-01,United States,No,https://clinicaltrials.gov/study/NCT03595917
NCT03986034,Early Clonal Dynamics During Venetoclax Treatment for Chronic Lymphocytic Leukemia (CLL),Phase 2,Recruiting,Interventional,Chronic Lymphocytic Leukemia,During Venetoclax,,"National Heart, Lung, and Blood Institute (NHLBI)",,75,2019-06-26,2026-07-03,United States,No,https://clinicaltrials.gov/study/NCT03986034
NCT04028531,Understanding Chronic Lymphocytic Leukemia,,Recruiting,Observational,Chronic Lymphocytic Leukemia,,,Dana-Farber Cancer Institute,National Cancer Institute (NCI),2750,1999-09-29,2032-09-29,United States,No,https://clinicaltrials.gov/study/NCT04028531
NCT04195633,Hematopoietic Stem Cell Transplantation From Haploidentical Donors in Patients With Hematological Malignancies Using a Treosulfan-Based Preparative Regimen,Phase 2,Recruiting,Interventional,"Acute Leukemia; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Adult Diffuse Large Cell Lymphoma; Anaplastic Large Cell Lymphoma; Burkitt Lymphoma; Chronic Myeloid Leukemia, BCR-ABL1 Positive; Chronic Myelomonocytic Leukemia; Hodgkin Lymphoma; Lymphoblastic Lymphoma; Lymphoplasmacytic Lymphoma; Mantle Cell Lymphoma; Mixed Phenotype Acute Leukemia; Myelodysplastic Syndrome; Prolymphocytic Leukemia; Refractory Chronic Lymphocytic Leukemia; Refractory Follicular Lymphoma; Refractory Marginal Zone Lymphoma; Refractory Small Lymphocytic Lymphoma",Allogeneic Hematopoietic Stem Cell Transplantation; Cyclophosphamide; Cyclosporine; Filgrastim; Fludarabine; Mycophenolate Mofetil; Mycophenolate Sodium; Total-Body Irradiation; Treosulfan; Bone Marrow Aspiration; Bone Marrow Biopsy; Echocardiography Test; Biospecimen Collection; Computed Tomography; Positron Emission Tomography,,Fred Hutchinson Cancer Center,medac GmbH,60,2021-01-25,2028-01-10,United States,No,https://clinicaltrials.gov/study/NCT04195633
