nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00033137,"Birt-Hogg-Dub(SqrRoot)(Copyright) Syndrome: Characterization of the FLCN Disease Gene and Predisposition to Renal Cancer, Cutaneous Fibrofolliculoma and Pulmonary Cysts",,Recruiting,Observational,"Kidney Neoplasms; Kidney Cancer; Pneumothorax; FLCN Protein, Human",,,National Cancer Institute (NCI),,950,2002-05-13,,United States,No,https://clinicaltrials.gov/study/NCT00033137
NCT00068003,Cell Harvest and Preparation for Surgery Branch Treatment Protocols,,Enrolling by invitation,Observational,Melanoma; Gastrointestinal Cancer; Metastatic Cancer; Breast Cancer; Non-Small Cell Lung Cancer,Anti-CD19 CAR PBL,,National Cancer Institute (NCI),,7000,2003-09-08,,United States,No,https://clinicaltrials.gov/study/NCT00068003
NCT02178163,A Study to Assess the Ability to Initiate Therapy in Advanced Non-small Cell Lung Cancer (NSCLC) Patients Based on Genomic Analyses of Tumor Specimens.,Not Applicable,Recruiting,Interventional,Recurrent Non-small Cell Lung Cancer; Stage IV Non-small Cell Lung Cancer,cytology specimen collection procedure; laboratory biomarker analysis,,Barbara Ann Karmanos Cancer Institute,National Cancer Institute (NCI),1020,2014-08-01,2027-07-05,United States,No,https://clinicaltrials.gov/study/NCT02178163
NCT02596490,Couple-Based Meditation for Metastatic Lung Cancer Patients and Their Partners,Not Applicable,Recruiting,Interventional,Lung Cancer,Questionnaires; Meditation and Discussion Sessions; Cancer-Related Discussion Program,,M.D. Anderson Cancer Center,"National Cancer Institute (NCI); American Cancer Society, Inc.",300,2016-04-06,2026-12-01,United States,No,https://clinicaltrials.gov/study/NCT02596490
NCT03093116,"A Phase 1/2, Open-Label, Multi-Center, First-in-Human Study of the Safety, Tolerability, Pharmacokinetics, and Anti-Tumor Activity of TPX-0005 in Patients With Advanced Solid Tumors Harboring ALK, ROS1, or NTRK1-3 Rearrangements (TRIDENT-1)",Phase 1/Phase 2,Recruiting,Interventional,Locally Advanced Solid Tumors; Metastatic Solid Tumors,Oral repotrectinib (TPX-0005),,"Turning Point Therapeutics, Inc.","Zai Lab (Shanghai) Co., Ltd.",500,2017-03-07,2028-02-29,Australia; Belgium; Canada; China; Denmark; France; Germany; Hong Kong; Hungary; Italy; Japan; Netherlands; Poland; Singapore; South Korea; Spain; Taiwan; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT03093116
NCT03586453,A Phase II Study of Osimertinib With On-study and Post-progression Biopsy in the First Line Treatment of EGFR Inhibitor naïve Advanced EGFR Mutant Lung Cancer,Phase 2,Recruiting,Interventional,"Carcinoma, Non-Small-Cell Lung",Osimertinib,,Dana-Farber Cancer Institute,AstraZeneca,30,2018-08-13,2027-03-01,United States,No,https://clinicaltrials.gov/study/NCT03586453
NCT03774758,Circulating Tumor DNA for Risk Stratification in Lung Cancer Screening,,Recruiting,Observational,Nodule Solitary Pulmonary; Non-small Cell Lung Cancer,Guardant Health ct-DNA LUNAR assay,,"University of California, San Francisco","Northern California Institute of Research and Education; Guardant Health, Inc.",590,2017-12-17,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT03774758
NCT03948100,"Dyadic Behavioral Interventions to Manage Physical Performance, Symptoms and Quality of Life for Patient Undergoing Radiotherapy and Their Family Caregivers",Not Applicable,Recruiting,Interventional,Esophageal Carcinoma; Lung Non-Small Cell Carcinoma; Stage I Lung Cancer AJCC v8; Stage IA1 Lung Cancer AJCC v8; Stage IA2 Lung Cancer AJCC v8; Stage IA3 Lung Cancer AJCC v8; Stage IB Lung Cancer AJCC v8; Stage II Lung Cancer AJCC v8; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage III Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVB Lung Cancer AJCC v8,Educational Intervention; Quality-of-Life Assessment; Questionnaire Administration; Yoga,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),400,2018-12-20,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03948100
NCT04093167,"A Biomarker-Directed, Multi-Centre Phase II/III Study of CTDNA Response Adaptive Immuno-Chemotherapy in Non-Small Cell Lung Cancer",Phase 2/Phase 3,Recruiting,Interventional,Non-Small Cell Lung Cancer,Pembrolizumab,,Canadian Cancer Trials Group,"Cancer Research Institute, New York City; Personal Genome Diagnostics; Mark Foundation for Cancer Research",230,2020-05-26,2027-07-30,Canada; United States,No,https://clinicaltrials.gov/study/NCT04093167
NCT04130516,"A Multicenter Phase 1-2A Study to Assess the Safety, Tolerability, Pharmacokinetics, and Antitumor Activity of LNS8801 in Patients With Advanced Cancer With and Without Pembrolizumab",Phase 1/Phase 2,Recruiting,Interventional,"Solid Tumor, Adult","LNS8801 -Small molecule, orally bioavailable, selective agonist of GPER; Pembrolizumab - anti-PD-1 antibody",,"Linnaeus Therapeutics, Inc.",Merck Sharp & Dohme LLC,200,2019-10-21,2027-12-15,United States,No,https://clinicaltrials.gov/study/NCT04130516
NCT04155034,MRI Brain Surveillance Alone Versus MRI Surveillance and Prophylactic Cranial Irradiation (PCI): A Randomized Phase III Trial in Small-Cell Lung Cancer (MAVERICK),Phase 3,Recruiting,Interventional,Extensive Stage Lung Small Cell Carcinoma; Limited Stage Lung Small Cell Carcinoma; Lung Small Cell Carcinoma,Magnetic Resonance Imaging; Prophylactic Cranial Irradiation,,SWOG Cancer Research Network,National Cancer Institute (NCI),668,2020-05-04,2029-11-15,Canada; Chile; Colombia; Mexico; Saudi Arabia; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04155034
NCT04253964,Phase II Pilot Study of Performance Status 2 vs. Performance Status 0-1 Non-Small Cell Lung Cancer Patients Treated With Chemo/Immunotherapy,Phase 2,Recruiting,Interventional,Nonsmall Cell Lung Cancer; Performance Status,"Pembrolizumab; Carboplatin; Paclitaxel; Nab paclitaxel; Quality of Life Questionnaire, lung cancer-specific (QLQ-LC13); QLQ-C30 Global Health/Quality of Life Questionnaire; COPD Assessment Test and modified Medical Research Council Dyspnea Patient Reported Outcomes; Pemetrexed",,Wake Forest University Health Sciences,National Cancer Institute (NCI),80,2020-07-01,2026-03-05,United States,No,https://clinicaltrials.gov/study/NCT04253964
NCT04300556,"A Multicenter, Open-Label Phase 1/2 Trial Evaluating the Safety, Tolerability, and Efficacy of MORAb-202, a Folate Receptor Alpha (FRα)-Targeting Antibody-drug Conjugate (ADC) in Subjects With Selected Tumor Types",Phase 1/Phase 2,Recruiting,Interventional,Solid Tumor,Farletuzumab ecteribulin; Prednisone; Prednisolone; Dexamethasone; Lenvatinib,,Eisai Inc.,,182,2020-08-06,2030-08-08,France; Japan; Spain; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT04300556
NCT04317534,A Randomized Phase II Trial of Adjuvant Pembrolizumab Versus Observation Following Curative Resection for Stage I Non-small Cell Lung Cancer (NSCLC) With Primary Tumors Between 1-4 cm: Big Ten Cancer Research Consortium BTCRC-LUN18-153,Phase 2,Recruiting,Interventional,"NSCLC, Stage I",Pembrolizumab,,"Greg Durm, MD",Merck Sharp & Dohme LLC,244,2020-05-05,2029-04-01,United States,No,https://clinicaltrials.gov/study/NCT04317534
NCT04486833,"A Phase 1/2 Open-Label, Dose-Escalation and Clinical Response Study of Quaratusugene Ozeplasmid in Combination With Osimertinib in Patients With Advanced, Metastatic EGFR-Mutant, Metastatic Non-Small Cell Lung Cancer",Phase 1/Phase 2,Recruiting,Interventional,"Carcinoma, Non-Small Cell Lung",quaratusugene ozeplasmid; osimertinib; Platinum-Based Chemotherapy,,"Genprex, Inc.",,158,2021-09-03,2029-03-05,United States,No,https://clinicaltrials.gov/study/NCT04486833
NCT04551378,Impacts of Coronavirus Disease 2019 (COVID-19) Pandemic on Adolescent and Young Adult (AYA) Cancer Patients and Survivors,,Recruiting,Observational,COVID-19 Infection; Hematopoietic and Lymphoid Cell Neoplasm; Malignant Solid Neoplasm,Quality-of-Life Assessment; Survey Administration,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),600,2020-07-13,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT04551378
