nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00001238,"Von Hippel-Lindau (VHL): Clinical Manifestations, Diagnosis, Management and Molecular Bases of Inherited Renal and Other Urologic Malignant Disorders",,Recruiting,Observational,Kidney Cancer; Urologic Malignant Disorders; Renal Cell Carcinoma; Familial Renal Cancer (FRC); Clear Cell Renal Cancer,,,National Cancer Institute (NCI),,5000,1990-12-05,,United States,No,https://clinicaltrials.gov/study/NCT00001238
NCT00026884,Collection of Serum and Tissue Samples From Patients With Biopsy-Proved or Suspected Malignant Diseases,,Recruiting,Observational,Malignant Neoplasms; Hereditary Neoplastic Syndromes; Kidney Cancer; Renal Cancer; Bladder Cancer,,,National Cancer Institute (NCI),,5950,1998-03-12,,United States,No,https://clinicaltrials.gov/study/NCT00026884
NCT00033137,"Birt-Hogg-Dub(SqrRoot)(Copyright) Syndrome: Characterization of the FLCN Disease Gene and Predisposition to Renal Cancer, Cutaneous Fibrofolliculoma and Pulmonary Cysts",,Recruiting,Observational,"Kidney Neoplasms; Kidney Cancer; Pneumothorax; FLCN Protein, Human",,,National Cancer Institute (NCI),,950,2002-05-13,,United States,No,https://clinicaltrials.gov/study/NCT00033137
NCT00050752,"Hereditary Leiomyomatosis Renal Cell Cancer (HLRCC): Identification of the Disease Gene, and Characterization of the Predisposition to Renal Cancer",,Recruiting,Observational,Renal Tumor Histology; Cutaneous Leiomyoma; Kidney Cancer,,,National Cancer Institute (NCI),,1130,2003-02-24,,United States,No,https://clinicaltrials.gov/study/NCT00050752
NCT00646022,Natural History of Familial Carcinoid Tumor,,Recruiting,Observational,Carcinoid,[18F]-DOPA,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,1600,2008-08-25,,United States,No,https://clinicaltrials.gov/study/NCT00646022
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02402244,"The Project: EveryChild Protocol: A Registry, Eligibility Screening, Biology and Outcome Study",,Recruiting,Observational,Adrenal Gland Pheochromocytoma; Carcinoma In Situ; Central Nervous System Neoplasm; Childhood Immature Teratoma; Childhood Kidney Neoplasm; Childhood Langerhans Cell Histiocytosis; Childhood Mature Teratoma; Congenital Mesoblastic Nephroma; Desmoid Fibromatosis; Ganglioneuroma; Lymphoproliferative Disorder; Malignant Neoplasm; Malignant Solid Neoplasm; Melanocytic Neoplasm; Myeloproliferative Neoplasm; Neoplasm of Uncertain Malignant Potential; Neuroendocrine Neoplasm; Stromal Neoplasm,Cytology Specimen Collection Procedure; Medical Chart Review,,Children's Oncology Group,National Cancer Institute (NCI),75000,2015-11-03,2030-12-31,Australia; Canada; New Zealand; Puerto Rico; Saudi Arabia; United States,No,https://clinicaltrials.gov/study/NCT02402244
NCT03291028,Defining the Genomic and Histologic Landscape of Primary and Metastatic Tumors With Divergent Kinetics in Patients With Renal Cell Carcinoma (RCC) and Urothelial Carcinoma (UC) Treated With Immune Checkpoint Blockade (ICB),,Recruiting,Observational,Renal Cell Carcinoma; Urothelial Carcinoma; Bladder Cancer; Ureter Cancer; Urethral Cancer,Immune checkpoint inhibitor targeting PD1,,Fox Chase Cancer Center,,16,2017-11-27,2025-12-05,United States,No,https://clinicaltrials.gov/study/NCT03291028
NCT04322955,Cyto-KIK; TRIAL (CYTO Reductive Surgery in Kidney Cancer Plus Immunotherapy (Nivolumab) and Targeted Kinase Inhibition (Cabozantinib),Phase 2,Recruiting,Interventional,Kidney Cancer; Renal Cell Carcinoma,Cabozantinib; Nivolumab; Cytoreductive nephrectomy,,Mark Stein,Exelixis; Bristol-Myers Squibb,48,2020-06-22,2028-02-05,United States,No,https://clinicaltrials.gov/study/NCT04322955
NCT04606446,"A PHASE 1/2A DOSE ESCALATION AND EXPANSION STUDY TO EVALUATE SAFETY, TOLERABILITY, PHARMACOKINETIC, PHARMACODYNAMIC, AND ANTI-TUMOR ACTIVITY OF PF-07248144 IN PARTICIPANTS WITH ADVANCED OR METASTATIC SOLID TUMORS",Phase 1,Recruiting,Interventional,Locally Advanced or Metastatic ER+ HER2- Breast Cancer; Locally Advanced or Metastatic Castration-resistant Prostate Cancer; Locally Advanced or Metastatic Non-small Cell Lung Cancer,"PF-07248144; Fulvestrant; Letrozole; Palbociclib; PF-07220060; PF-07850327, ARV-471, vepdegestrant",,Pfizer,,320,2020-11-16,2029-09-22,Australia; China; Japan; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04606446
