nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00488878,Data Collection for Patients With Low Grade Ovarian Carcinoma,,Recruiting,Observational,Low Grade Ovarian Serous Adenocarcinoma; Malignant Ovarian Neoplasm; Ovarian Carcinoma; Primary Peritoneal Carcinoma; Primary Peritoneal Low Grade Serous Adenocarcinoma; Psammocarcinoma,Biospecimen Collection; Electronic Health Record Review,,M.D. Anderson Cancer Center,,2000,2006-05-19,2035-05-01,United States,No,https://clinicaltrials.gov/study/NCT00488878
NCT00823654,Multi-Center Study of Serum Biomarkers to Characterize the Effects of Therapy on Ovarian Reserve in Premenopausal Women With Early-stage Breast Cancer BRCA Mutations,,Recruiting,Observational,Breast Cancer,Blood draw and questionnaires; Blood draw and questionnaires,,Memorial Sloan Kettering Cancer Center,Yale University; New York Presbyterian Hospital; Weill Medical College of Cornell University,609,2009-01-05,2027-01-05,United States,No,https://clinicaltrials.gov/study/NCT00823654
NCT00929006,Study to Assess Acute Progesterone Suppression of Wake vs. Sleep Luteinizing Hormone Pulse Frequency in Pubertal Girls With and Without Hyperandrogenism,Early Phase 1,Recruiting,Interventional,Puberty; Hyperandrogenism,Micronized progesterone suspension; Placebo,,University of Virginia,National Institutes of Health (NIH),36,2008-06-05,2025-12-01,United States,No,https://clinicaltrials.gov/study/NCT00929006
NCT01102569,Molecular Genetics and Epidemiology of Pancreatic Cancer in Ashkenazi Jewish Patients,,Recruiting,Observational,Pancreatic Cancer,,,Columbia University,,100,2008-01-05,2027-12-05,United States,No,https://clinicaltrials.gov/study/NCT01102569
NCT01441089,Collection of Blood From Therapeutic Trial Participants for Analysis of Genetic Differences in Drug Disposition and Pharmacokinetics of Probe Medications,,Recruiting,Observational,Prostate Cancer; Breast Cancer; Lung Cancer; Ovarian Cancer; Lymphoma,,,National Cancer Institute (NCI),,1100,2012-05-21,,United States,No,https://clinicaltrials.gov/study/NCT01441089
NCT01870752,Autologous Orthotopic Transplantation of Previously Cryopreserved Ovarian Tissue,Not Applicable,Recruiting,Interventional,Infertile Females or Females With Ovarian Insufficiency,Transplantation of previously cryopreserved ovarian tissu,,Abramson Cancer Center at Penn Medicine,,10,2013-06-05,2028-12-05,United States,No,https://clinicaltrials.gov/study/NCT01870752
NCT01970696,International Ovarian & Testicular Stromal Tumor Registry,,Recruiting,Observational,Ovarian Sex-cord Stromal Tumor; Testicular Stromal Tumors; Ovarian Small Cell Carcinoma,,,Children's Hospitals and Clinics of Minnesota,"Children's National Research Institute; Dana-Farber Cancer Institute; Washington University School of Medicine; University of Texas Southwestern Medical Center; M.D. Anderson Cancer Center; Children's Hospital Colorado; Rutgers University; Massachusetts General Hospital; Klinikum Dortmund Wirbelsäulenchirurgie; ResourcePath, LLC; Allina Health System; Phoenix Children's Hospital; University of Cambridge",300,2011-12-08,2030-12-05,United States,No,https://clinicaltrials.gov/study/NCT01970696
NCT02000089,The Cancer of the Pancreas Screening-5 CAPS5)Study,Phase 3,Recruiting,Interventional,Pancreas Cancer; Peutz-Jeghers Syndrome (PJS); Gene Mutation; Germline Mutation Carrier; Lynch Syndrome,Secretin; MRI; Tumor marker gene test with CA19-9,,Johns Hopkins University,National Cancer Institute (NCI); National Institutes of Health (NIH); American Association for Cancer Research,9000,2014-01-06,2029-06-05,United States,No,https://clinicaltrials.gov/study/NCT02000089
NCT02288676,DOvEEgene/WISE Genomics: Diagnosing Ovarian and Endometrial Cancer Early Using Genomics,,Recruiting,Observational,Ovarian Neoplasms; Endometrial Neoplasms; Endometrial Cancer; Ovarian Cancer; Screening; Safety; Reduced Mortality; Reduced Morbidity; Early Diagnosis,,,McGill University,McGill University Health Centre/Research Institute of the McGill University Health Centre,1200,2014-01-05,2026-10-05,Canada,No,https://clinicaltrials.gov/study/NCT02288676
NCT02296307,Diagnosing Ovarian & Endometrial Cancer Early (DOvEE) by Targeting Symptomatic Women,,Recruiting,Observational,Ovarian Neoplasms,Blood test: CA-125 biomarker; Second Test: Transvaginal Ultrasound; Follow-up phone call,,McGill University,,13600,2012-01-05,2026-01-05,Canada,No,https://clinicaltrials.gov/study/NCT02296307
NCT02302742,"PROspective Evaluation of GErmline Mutations, Cancer Outcome and Tissue Biomarkers: A Registry for Patients With Triple Negative Breast Cancer and Germline Mutations",,Recruiting,Observational,Breast Cancer; Hereditary Breast and Ovarian Cancer,,,University of Kansas Medical Center,,1500,2011-03-22,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT02302742
NCT02333604,Cancer Experience Registry: An Online Survey Research Study to Understand the Experiences of Cancer Patients and Caregivers,,Recruiting,Observational,Neoplasms; Cancer; Caregiver,,,"Cancer Support Community, Research and Training Institute, Philadelphia",,15000,2013-03-05,2035-12-05,United States,No,https://clinicaltrials.gov/study/NCT02333604
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT02732860,Prospective Evaluation of Freshly Implanted Cancers in Mice to Test Drug Response in Matching Host,,Recruiting,Observational,Colorectal Neoplasms; Colorectal Cancer; Breast Cancer; Breast Neoplasms; Ovarian Cancer; Ovarian Neoplasm,Molecular Profiling & In Vivo drug testing in pPDX and organoid cultures,,"University Health Network, Toronto",,120,2015-12-05,2026-01-04,Canada,No,https://clinicaltrials.gov/study/NCT02732860
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT03419689,Biomarker Discovery Project in High Grade Serous Ovarian Cancer,Not Applicable,Recruiting,Interventional,Gynecologic Cancer,Tumour tissue collection; Blood sample collection; Ascites Collection; Fluid Collection,,"University Health Network, Toronto",,510,2018-01-08,2028-06-08,Canada,No,https://clinicaltrials.gov/study/NCT03419689
NCT03428802,A Basket Trial of Pembrolizumab in Patients With Advanced Solid Tumors and Genomic Instability,Phase 2,Recruiting,Interventional,BRCA1 Gene Mutation; BRCA2 Gene Mutation; Locally Advanced Solid Neoplasm; Metastatic Malignant Solid Neoplasm; POLD1 Gene Mutation; POLE Gene Mutation; Recurrent Malignant Solid Neoplasm; Recurrent Ovarian Carcinoma; Stage III Breast Cancer AJCC v7; Stage III Ovarian Cancer AJCC v8; Stage IIIA Breast Cancer AJCC v7; Stage IIIA Ovarian Cancer AJCC v8; Stage IIIB Breast Cancer AJCC v7; Stage IIIB Ovarian Cancer AJCC v8; Stage IIIC Breast Cancer AJCC v7; Stage IIIC Ovarian Cancer AJCC v8; Stage IV Breast Cancer AJCC v6 and v7; Stage IV Ovarian Cancer AJCC v8; Stage IVA Ovarian Cancer AJCC v8; Stage IVB Ovarian Cancer AJCC v8,Laboratory Biomarker Analysis; Pembrolizumab,,"Rutgers, The State University of New Jersey",National Cancer Institute (NCI),40,2018-03-08,2023-10-02,United States,No,https://clinicaltrials.gov/study/NCT03428802
NCT03544983,A Randomized Trial of Proactive Outreach and Streamlined Genetic Education in BRCA Families,Not Applicable,Enrolling by invitation,Interventional,BRCA1 Mutation; BRCA2 Mutation,Web + Streamlined Telephone Genetic Information,,Georgetown University,George Washington University,240,2020-05-01,2027-06-30,United States,No,https://clinicaltrials.gov/study/NCT03544983
NCT03564340,"A Phase 1/2 Study of REGN4018 (Ubamatamab), a MUC16×CD3 Bispecific Antibody, Administered Alone or in Combination With Cemiplimab in Patients With Recurrent Ovarian Cancer or Other Recurrent MUC16+ Cancers",Phase 1/Phase 2,Recruiting,Interventional,Recurrent Ovarian Cancer; Recurrent Fallopian Tube Cancer; Recurrent Primary Peritoneal Cancer; Recurrent Endometrial Cancer; Endometrial Cancer; Low-grade Serous Ovarian Cancer,Ubamatamab; Cemiplimab; Sarilumab; Tocilizumab,,Regeneron Pharmaceuticals,,890,2018-05-21,2027-01-31,Australia; Belgium; France; Israel; Italy; Netherlands; South Korea; Spain; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT03564340
NCT03568630,A Longitudinal Cohort Study to Identify Clinical and Blood Markers of Early Pancreas Cancer,,Recruiting,Observational,"Diabetes Mellitus, Type 2; PreDiabetes; Pancreas Cyst; Chronic Pancreatitis; Genetic Predisposition to Disease; Inherited Disease",,,University of Nebraska,National Cancer Institute (NCI); Virginia Mason Hospital/Medical Center; VA Nebraska Western Iowa Health Care System,1250,2018-07-26,2028-07-05,United States,No,https://clinicaltrials.gov/study/NCT03568630
NCT03702309,Liquid Biopsy Evaluation and Repository Development at Princess Margaret,,Recruiting,Observational,Cancer; Breast Cancer; Lung Cancer; Colon Cancer; Ovarian Cancer; Melanoma; Lymphoma; Leukemia; Mutation; Lynch Syndrome; Cowden Syndrome; BRCA1 Mutation; BRCA2 Mutation; Uterine Cancer; Myeloma; Kidney Cancer; Head and Neck Cancer; Meningioma,,,"University Health Network, Toronto",,2500,2017-08-03,2026-07-06,Canada,No,https://clinicaltrials.gov/study/NCT03702309
NCT03772028,Phase III Randomized Clinical Trial for Stage III Epithelial Ovarian Cancer Randomizing Between Primary Cytoreductive Surgery With or Without Hyperthermic Intraperitoneal Chemotherapy,Phase 3,Recruiting,Interventional,Ovarian Cancer,cisplatin,,The Netherlands Cancer Institute,,538,2020-01-01,2026-04-01,Denmark; France; Ireland; Italy; Netherlands; Sweden; United States,No,https://clinicaltrials.gov/study/NCT03772028
NCT04038502,"An Open-label, Multicenter Phase II Study to Compare the Efficacy of Carboplatin as First-line Followed by Second-line Olaparib Versus Olaparib as First-line Followed by Second-line Carboplatin in the Treatment of Patients With Castration Resistant Prostate Cancer Containing Homologous Recombination Deficiency",Phase 2,Recruiting,Interventional,"Metastatic Castrate Resistant Prostate Cancer; BARD1, BRCA1, BRCA2, BRIP1, CHEK1, FANCL, PALB2; RAD51B, RAD51C, RAD51D, or RAD54L Mutations",Carboplatin; Olaparib,,VA Office of Research and Development,,100,2019-10-01,2027-08-31,United States,No,https://clinicaltrials.gov/study/NCT04038502
NCT04090567,Overcoming PARP Inhibitor Resistance in BRCA Germline Mutation Positive Advanced Breast Cancer,Phase 2,Recruiting,Interventional,Advanced Breast Carcinoma; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Germline BRCA1 Gene Mutation; Germline BRCA2 Gene Mutation; HER2/Neu Negative; Metastatic Breast Carcinoma; Prognostic Stage III Breast Cancer AJCC v8; Prognostic Stage IIIA Breast Cancer AJCC v8; Prognostic Stage IIIB Breast Cancer AJCC v8; Prognostic Stage IIIC Breast Cancer AJCC v8; Prognostic Stage IV Breast Cancer AJCC v8,Cediranib; Ceralasertib; Olaparib,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),60,2020-07-28,2027-12-31,United States,No,https://clinicaltrials.gov/study/NCT04090567
NCT04251052,A Non-Randomized Prospective Clinical Trial Comparing the Non-Inferiority of Salpingectomy to Salpingo-oophorectomy to Reduce the Risk of Ovarian Cancer Among BRCA1 Carriers [SOROCk],Not Applicable,Recruiting,Interventional,Ovarian Carcinoma,Bilateral Salpingectomy; Bilateral Salpingectomy with Oophorectomy; Biospecimen Collection; Magnetic Resonance Imaging; Quality-of-Life Assessment; Questionnaire Administration; Transvaginal Ultrasound; Ultrasound Imaging,,NRG Oncology,National Cancer Institute (NCI),1956,2020-09-01,2047-06-30,Canada; South Korea; United States,No,https://clinicaltrials.gov/study/NCT04251052
NCT04254133,Genetic Information to Inform Treatment and Screening (GIFTS) Study for Prostate Cancer,,Enrolling by invitation,Observational,Prostate Carcinoma,Questionnaire; Biospecimen Collection; Genetic Testing; Genetic Counseling; Laboratory Biomarker Analysis,,Fred Hutchinson Cancer Center,National Cancer Institute (NCI),1360,2018-11-30,2028-08-31,United States,No,https://clinicaltrials.gov/study/NCT04254133
