nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00034216,Biospecimen Acquisition From Human Subjects,,Recruiting,Observational,Prostate Cancer; Breast Cancer; Colon Cancer; Lung Cancer; Liver Cancer,,,National Cancer Institute (NCI),,1750,2002-07-16,,United States,No,https://clinicaltrials.gov/study/NCT00034216
NCT01174121,"A Phase II Study Using Short-Term Cultured, Autologous Tumor-Infiltrating Lymphocytes Following a Lymphodepleting Regimen in Metastatic Cancers Plus the Administration of Pembrolizumab",Phase 2,Recruiting,Interventional,Metastatic Colorectal Cancer; Metastatic Pancreatic Cancer; Metastatic Ovarian Cancer; Metastatic Breast Carcinoma; Metastatic Endocrine Tumors/ Neuroendocrine Tumors,Pembrolizumab (Keytruda); Fludarabine; Cyclophosphamide; Aldesleukin; Young TIL,,National Cancer Institute (NCI),,332,2010-08-26,2029-12-27,United States,No,https://clinicaltrials.gov/study/NCT01174121
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02172651,Study to Identify Transcriptional Targets of Vitamin D in Patients With Stage I-III Colon Cancer or Resectable Colon Cancer Liver Metastases Receiving Preoperative Vitamin D Supplementation.,Early Phase 1,Recruiting,Interventional,"Stage, Colon Cancer; Stage I-III Colon Cancer; Stage IV Colon Cancer With Resectable Liver Metastases",Vitamin D3; Placebo,,Dana-Farber Cancer Institute,National Cancer Institute (NCI); Pharmavite LLC,80,2014-07-14,2026-06-30,United States,No,https://clinicaltrials.gov/study/NCT02172651
NCT02448173,A Randomized Multicenter Study of Active Specific Immunotherapy With OncoVax® in Patients With Stage II Colon Cancer,Phase 3,Not yet recruiting,Interventional,Stage II Colon Cancer,OncoVAX and Surgery; Surgery,,Vaccinogen Inc,,550,2026-08-05,2033-08-05,United States,No,https://clinicaltrials.gov/study/NCT02448173
NCT03203525,A Phase I Study of the NovoTTF-100L(P) System to Enhance Antitumor Activity in Patients With Predominant Hepatic Metastatic Cancer,Phase 1,Recruiting,Interventional,Advanced Malignant Neoplasm; Colorectal Carcinoma Metastatic in the Liver; Metastatic Malignant Neoplasm in the Liver; Refractory Malignant Neoplasm,Bevacizumab; Fluorouracil; Leucovorin; Oxaliplatin; Pegylated Liposomal Doxorubicin Hydrochloride; Temsirolimus; Tumor Treating Fields Therapy,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),52,2020-06-23,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT03203525
NCT03260491,"A Multicenter, Open-Label Phase 1 Study of U3-1402 in Subjects With Metastatic or Unresectable Non-small Cell Lung Cancer",Phase 1,Recruiting,Interventional,Non-Small Cell Lung Cancer (NSCLC),HER3-DXd (FL-DP); HER3-DXd (CTM-1 Lyo-DP); HER3-DXd (CTM-3 Lyo-DP),,Daiichi Sankyo,Merck Sharp & Dohme LLC,309,2017-10-30,2026-12-31,Japan; Netherlands; South Korea; Spain; Taiwan; United States,No,https://clinicaltrials.gov/study/NCT03260491
NCT03551951,"Tumor Cell and DNA Detection in the Blood, Urine and Bone Marrow of Patients With Solid Cancers and Subjects Undergoing Lung Cancer Screening",,Recruiting,Observational,Non Small Cell Lung Cancer; Esophageal Cancer; Gastric Cancer; Pancreatic Cancer; Hepatocellular Cancer; Colorectal Cancer,"Test for circulating tumor cells, DNA alterations",,University of Missouri-Columbia,Harry S. Truman Memorial Veterans' Hospital,320,2016-07-01,2027-12-30,United States,No,https://clinicaltrials.gov/study/NCT03551951
NCT03998202,Myopenia and Mechanisms of Chemotherapy Toxicity in Older Adults With Colorectal Cancer: The M&M Study,,Recruiting,Observational,Colorectal Cancer; Sarcopenia,,,Wake Forest University Health Sciences,University of Alabama at Birmingham,300,2019-09-23,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT03998202
NCT04165772,A Phase II Study of Induction PD-1 Blockade in Subjects With Locally Advanced Mismatch Repair Deficient Solid Tumors,Phase 2,Recruiting,Interventional,"Rectal Adenocarcinoma; Clinical Stage: Stage II (T3-4, N-); Stage III (Any T, N+); Solid Tumor; Solid Tumor, Adult",TSR-042 or Dostarlimab; capecitabine or 5-FU; Intensity Modulated Radiation Therapy (IMRT),,Memorial Sloan Kettering Cancer Center,"Tesaro, Inc.",200,2019-12-11,2026-11-30,United States,No,https://clinicaltrials.gov/study/NCT04165772
