nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT01174121,"A Phase II Study Using Short-Term Cultured, Autologous Tumor-Infiltrating Lymphocytes Following a Lymphodepleting Regimen in Metastatic Cancers Plus the Administration of Pembrolizumab",Phase 2,Recruiting,Interventional,Metastatic Colorectal Cancer; Metastatic Pancreatic Cancer; Metastatic Ovarian Cancer; Metastatic Breast Carcinoma; Metastatic Endocrine Tumors/ Neuroendocrine Tumors,Pembrolizumab (Keytruda); Fludarabine; Cyclophosphamide; Aldesleukin; Young TIL,,National Cancer Institute (NCI),,332,2010-08-26,2029-12-27,United States,No,https://clinicaltrials.gov/study/NCT01174121
NCT01638676,A Phase I/II Trial of Vemurafenib and Metformin to Unresectable Stage IIIC and Stage IV BRAF.V600E+ Melanoma Patients,Phase 1/Phase 2,Recruiting,Interventional,Melanoma,Vemurafenib; Metformin,,University of Louisville,James Graham Brown Cancer Center,55,2012-07-05,2027-06-05,United States,No,https://clinicaltrials.gov/study/NCT01638676
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02485847,IRIS Registry: Intelligent Research in Sight Registry,,Recruiting,Observational,Eye Diseases,Ophthalmology,,American Academy of Ophthalmology,,20000000,2014-03-05,2100-01-05,United States,No,https://clinicaltrials.gov/study/NCT02485847
NCT02670707,Randomization of Cytarabine Monotherapy Versus Standard-of-Care Vinblastine/Prednisone for Frontline Treatment of Langerhans Cell Histiocytosis (TXCH LCH0115),Phase 3,Recruiting,Interventional,Langerhans Cell Histiocytosis,Cytarabine; Vinblastine/prednisone,,Baylor College of Medicine,,124,2016-03-07,2029-01-05,United States,No,https://clinicaltrials.gov/study/NCT02670707
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT03042221,Early Rebiopsy to Identify Mechanisms and Biomarkers of Tumor Cell Survival Following Systemic Therapy for Lung Cancer,,Recruiting,Observational,"Non-Small Cell Carcinoma of Lung, TNM Stage 4; Non-Small Cell Lung Cancer; EGFR Gene Mutation; ALK Gene Mutation; ROSE Cluster 1; BRAF V600E",,,"University of Colorado, Denver",,100,2016-05-10,2027-09-30,United States,No,https://clinicaltrials.gov/study/NCT03042221
NCT03254667,"Prospective, Observational Study Brodalumab Compared With Other Therapies in the Treatment of Adults With Moderate-to-Severe Psoriasis Who Are Candidates for Systemic Therapy or Phototherapy in the Course of Actual Clinical Care",,Enrolling by invitation,Observational,Psoriasis,Brodalumab; Comparator Drug (non-biologic IL-17 inhibitors),,"Bausch Health Americas, Inc.",,3500,2017-07-25,2031-11-05,United States,No,https://clinicaltrials.gov/study/NCT03254667
NCT03420963,Ex-Vivo Expanded Allogeneic NK Cells for the Treatment of Solid Tumors of Pediatric Origin in Children and Young Adults,Phase 1,Recruiting,Interventional,Recurrent Cutaneous Melanoma; Recurrent Lip and Oral Cavity Carcinoma; Recurrent Malignant Endocrine Neoplasm; Recurrent Malignant Female Reproductive System Neoplasm; Recurrent Malignant Male Reproductive System Neoplasm; Recurrent Malignant Mesothelioma; Recurrent Malignant Neoplasm of Multiple Primary Sites; Recurrent Malignant Oral Neoplasm; Recurrent Malignant Pharyngeal Neoplasm; Recurrent Malignant Skin Neoplasm; Recurrent Malignant Soft Tissue Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Malignant Thyroid Gland Neoplasm; Recurrent Malignant Urinary System Neoplasm; Refractory Cutaneous Melanoma; Refractory Malignant Bone Neoplasm; Refractory Malignant Endocrine Neoplasm; Refractory Malignant Female Reproductive System Neoplasm; Refractory Malignant Male Reproductive System Neoplasm; Refractory Malignant Mesothelioma; Refractory Malignant Neoplasm of Multiple Primary Sites; Refractory Malignant Oral Neoplasm; Refractory Malignant Pharyngeal Neoplasm; Refractory Malignant Skin Neoplasm; Refractory Malignant Soft Tissue Neoplasm; Refractory Malignant Solid Neoplasm; Refractory Malignant Thyroid Gland Neoplasm; Refractory Malignant Urinary System Neoplasm,Cord Blood-derived Expanded Allogeneic Natural Killer Cells; Cyclophosphamide; Etoposide,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),38,2018-08-31,2027-12-01,United States,No,https://clinicaltrials.gov/study/NCT03420963
NCT03474497,"UCDCC#272: A Phase I/II Study of Intralesional IL-2, Hypofractionated Radiotherapy, and Pembrolizumab in Patients Refractory to Standard-of-Care PD-1/PD-L1 Checkpoint Blockade",Phase 1/Phase 2,Recruiting,Interventional,Non Small Cell Lung Cancer; Metastatic Melanoma; Metastatic Renal Cell Carcinoma; Head and Neck Squamous Cell Carcinoma,IL-2; Pembrolizumab; Radiotherapy,,"Megan Daly, MD",Merck Sharp & Dohme LLC,45,2019-05-20,2023-12-05,United States,No,https://clinicaltrials.gov/study/NCT03474497
