nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT03011684,Fertility Preservation Using Tamoxifen and Letrozole in Estrogen Sensitive Tumors Trial,Phase 3,Recruiting,Interventional,Infertility,Tamoxifen; Letrozole,,"University of California, San Francisco",,309,2016-07-21,2026-03-31,United States,No,https://clinicaltrials.gov/study/NCT03011684
NCT03675893,"RESOLVE: letRozole abEmaciclib combinationS in endOmetriaL and oVarian cancEr: A Multi-Cohort Phase 2 Study of Letrozole/Abemaciclib Alone and in Combination With Metformin, Zotatifin and Gedatolisib",Phase 2,Recruiting,Interventional,Endometrial Cancer; Ovarian Cancer,Letrozole; Abemaciclib; LY3023414; Metformin; Zotatifin; Gedatolisib,,Dana-Farber Cancer Institute,Eli Lilly and Company; Effector Therapeutics; Celcuity Inc,180,2018-12-24,2031-08-01,United States,No,https://clinicaltrials.gov/study/NCT03675893
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03769415,HARMONY: Harnessing the Analysis of RNA Expression and Molecular Subtype to Optimize Novel TherapY for Metastatic Breast Cancer,Not Applicable,Recruiting,Interventional,Breast Cancer,Intrinsic Subtyping of Primary Breast Cancer,,UNC Lineberger Comprehensive Cancer Center,"Veracyte, Inc.; Breast Cancer Research Foundation",500,2018-11-06,2030-12-15,United States,No,https://clinicaltrials.gov/study/NCT03769415
NCT03909282,A Randomized Phase II Study Comparing Surgical Excision Versus Neoadjuvant Radiotherapy Followed by Delayed Surgical Excision of Ductal Carcinoma In Situ (NORDIS),Not Applicable,Recruiting,Interventional,Ductal Breast Carcinoma in Situ,Lumpectomy; Partial breast irradiation prior to surgery,,Stanford University,,50,2019-03-22,2025-12-05,United States,No,https://clinicaltrials.gov/study/NCT03909282
NCT03971409,"Innovative Combination Immunotherapy for Metastatic Triple Negative Breast Cancer (TNBC): A Multicenter, Multi-Arm Translational Breast Cancer Research Consortium Study",Phase 2,Recruiting,Interventional,Stage III Breast Cancer; Stage IIIA Breast Cancer; Stage IIIB Breast Cancer; Stage IIIC Breast Cancer; Stage IV Breast Cancer; Invasive Breast Carcinoma; Recurrent Breast Carcinoma; Triple-Negative Breast Carcinoma; Unresectable Breast Carcinoma,Anti-OX40 Antibody PF-04518600; Avelumab; Binimetinib; Utomilumab; Liposomal Doxorubicin; Sacituzumab Govitecan,,"Laura Huppert, MD, BA",Translational Breast Cancer Research Consortium; Hoosier Cancer Research Network; Array BioPharma; Pfizer; Breast Cancer Research Foundation; Johns Hopkins University; Gilead Sciences,150,2019-07-08,2026-06-30,United States,No,https://clinicaltrials.gov/study/NCT03971409
NCT04234048,"A Phase 1a/1b Trial in Relapsed/Refractory T-cell Non-Hodgkin Lymphoma to Determine the Safety Profile, Pharmacology, and Maximum Tolerated Dose of ST-001, a Fenretinide Phospholipid Suspension (12.5 mg/mL) for Intravenous Infusion",Phase 1,Recruiting,Interventional,"T-cell Lymphoma; Cutaneous/Peripheral T-Cell Lymphoma; Peripheral T-cell Lymphoma; Peripheral T-Cell Lymphoma, Not Classified; Primary Cutaneous T-cell Lymphoma; Cutaneous T-Cell Lymphoma, Unspecified; Cutaneous T-cell Lymphoma; Follicular T-Cell Lymphoma; Angioimmunoblastic T-cell Lymphoma; Sézary's Disease; Mycosis Fungoides",Fenretinide,,"SciTech Development, Inc.",,46,2023-12-18,2027-05-01,United States,No,https://clinicaltrials.gov/study/NCT04234048
NCT04250259,"A Multi-center, Randomized, Placebo-controlled Trial of S-Adenosylmethionine (SAMe) in Patients With Alcoholic Cirrhosis",Phase 2,Recruiting,Interventional,Alcoholic Cirrhosis,Placebo; SAMe 400 mg tablet,,Indiana University,Cedars-Sinai Medical Center; National Institute on Alcohol Abuse and Alcoholism (NIAAA),196,2020-10-22,2027-03-01,United States,No,https://clinicaltrials.gov/study/NCT04250259
NCT04553770,"A Phase II, Multicenter, Open-Label Trial to Evaluate the Safety and Efficacy of Trastuzumab Deruxtecan (DS-8201a) With or Without Anastrozole for HER2 Low Hormone Receptor Positive (HR+) Breast Cancer in the Neoadjuvant Setting",Phase 2,Recruiting,Interventional,Early-stage Breast Cancer; Hormone Receptor Positive Breast Carcinoma; Invasive Breast Cancer; Stage II Breast Cancer; Stage IIA Breast Cancer; Stage IIB Breast Cancer; Stage III Breast Cancer,Anastrozole; Therapeutic Conventional Surgery; Trastuzumab Deruxtecan,,Jonsson Comprehensive Cancer Center,"Translational Research in Oncology-U.S; Daiichi Sankyo Co., Ltd.",88,2020-10-09,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04553770
