nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00001532,Role of Genetic Factors in the Pathogenesis of Lung Disease,,Recruiting,Observational,Cystic Fibrosis; Pulmonary Fibrosis; Tuberous Sclerosis; Asthma; Pulmonary Sarcoidosis,,,"National Heart, Lung, and Blood Institute (NHLBI)",Suburban Hospital,3500,1996-09-13,,United States,No,https://clinicaltrials.gov/study/NCT00001532
NCT01174121,"A Phase II Study Using Short-Term Cultured, Autologous Tumor-Infiltrating Lymphocytes Following a Lymphodepleting Regimen in Metastatic Cancers Plus the Administration of Pembrolizumab",Phase 2,Recruiting,Interventional,Metastatic Colorectal Cancer; Metastatic Pancreatic Cancer; Metastatic Ovarian Cancer; Metastatic Breast Carcinoma; Metastatic Endocrine Tumors/ Neuroendocrine Tumors,Pembrolizumab (Keytruda); Fludarabine; Cyclophosphamide; Aldesleukin; Young TIL,,National Cancer Institute (NCI),,332,2010-08-26,2029-12-27,United States,No,https://clinicaltrials.gov/study/NCT01174121
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02417740,Natural History of Noncirrhotic Portal Hypertension,,Recruiting,Observational,Cystic Fibrosis; Immunologic Deficiency Syndrome; Turner Syndrome; Congenital Hepatic Fibrosis; Idiopathic Non-Cirrhotic Portal Hypertension,,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,400,2015-07-27,2029-09-04,United States,No,https://clinicaltrials.gov/study/NCT02417740
NCT02757859,The WASH Trial: A Randomized Trial of Abdominal Lavage Using Distilled Water or Saline at High Volumes for Resected Pancreatic Cancer,Not Applicable,Recruiting,Interventional,Acinar Cell Carcinoma; Ampulla of Vater Adenocarcinoma; Cholangiocarcinoma; Duodenal Adenocarcinoma; Pancreatic Adenocarcinoma; Pancreatic Ductal Adenocarcinoma; Pancreatic Intraductal Papillary Mucinous Neoplasm; Periampullary Adenocarcinoma,Pancreatectomy; Lavage; Pancreatectomy; Lavage; Pancreatectomy,,Sidney Kimmel Cancer Center at Thomas Jefferson University,,845,2016-04-27,2026-04-27,United States,No,https://clinicaltrials.gov/study/NCT02757859
NCT03257033,Targeted Intra-arterial Gemcitabine vs. Continuation of IV Gemcitabine Plus Nab-Paclitaxel Following Induction With Sequential IV Gemcitabine Plus Nab-Paclitaxel and Radiotherapy for Locally Advanced Pancreatic Cancer,Phase 3,Recruiting,Interventional,Locally Advanced Pancreatic Cancer,Gemcitabine; nab-paclitaxel; RenovoCath,,RenovoRx,,190,2018-03-12,2026-09-05,Belgium; United States,No,https://clinicaltrials.gov/study/NCT03257033
NCT03551951,"Tumor Cell and DNA Detection in the Blood, Urine and Bone Marrow of Patients With Solid Cancers and Subjects Undergoing Lung Cancer Screening",,Recruiting,Observational,Non Small Cell Lung Cancer; Esophageal Cancer; Gastric Cancer; Pancreatic Cancer; Hepatocellular Cancer; Colorectal Cancer,"Test for circulating tumor cells, DNA alterations",,University of Missouri-Columbia,Harry S. Truman Memorial Veterans' Hospital,320,2016-07-01,2027-12-30,United States,No,https://clinicaltrials.gov/study/NCT03551951
NCT03568630,A Longitudinal Cohort Study to Identify Clinical and Blood Markers of Early Pancreas Cancer,,Recruiting,Observational,"Diabetes Mellitus, Type 2; PreDiabetes; Pancreas Cyst; Chronic Pancreatitis; Genetic Predisposition to Disease; Inherited Disease",,,University of Nebraska,National Cancer Institute (NCI); Virginia Mason Hospital/Medical Center; VA Nebraska Western Iowa Health Care System,1250,2018-07-26,2028-07-05,United States,No,https://clinicaltrials.gov/study/NCT03568630
NCT03608631,Phase I Study of Mesenchymal Stromal Cells-Derived Exosomes With KrasG12D siRNA for Metastatic Pancreas Cancer Patients Harboring KrasG12D Mutation,Phase 1/Phase 2,Recruiting,Interventional,KRAS NP_004976.2:p.G12D; Metastatic Pancreatic Adenocarcinoma; Pancreatic Ductal Adenocarcinoma; Stage IV Pancreatic Cancer AJCC v8,Mesenchymal Stromal Cells-derived Exosomes with KRAS G12D siRNA,,M.D. Anderson Cancer Center,,28,2021-01-27,2027-04-30,United States,No,https://clinicaltrials.gov/study/NCT03608631
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
