nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00034216,Biospecimen Acquisition From Human Subjects,,Recruiting,Observational,Prostate Cancer; Breast Cancer; Colon Cancer; Lung Cancer; Liver Cancer,,,National Cancer Institute (NCI),,1750,2002-07-16,,United States,No,https://clinicaltrials.gov/study/NCT00034216
NCT00756665,Canary Prostate Active Surveillance Study,,Recruiting,Observational,Prostatic Neoplasms,,,University of Washington,Canary Foundation; Early Detection Research Network,3000,2008-07-05,2032-09-05,Canada; United States,No,https://clinicaltrials.gov/study/NCT00756665
NCT00923221,Collection of Blood From Patients With Prostate Cancer,,Recruiting,Observational,Cancer Of Prostate; Prostate Cancer; Prostatic Neoplasms; Metastatic Prostate Cancer; Prostate,,,National Cancer Institute (NCI),,1000,2007-02-28,,United States,No,https://clinicaltrials.gov/study/NCT00923221
NCT01961713,Circulating Tumor Cell Analysis in Patients With Localized Prostate Cancer Undergoing Prostatectomy,,Recruiting,Observational,Prostate Cancer,,,Massachusetts General Hospital,Prostate Cancer Foundation Clinical Research Consortium,200,2010-04-05,2025-12-05,United States,No,https://clinicaltrials.gov/study/NCT01961713
NCT02000089,The Cancer of the Pancreas Screening-5 CAPS5)Study,Phase 3,Recruiting,Interventional,Pancreas Cancer; Peutz-Jeghers Syndrome (PJS); Gene Mutation; Germline Mutation Carrier; Lynch Syndrome,Secretin; MRI; Tumor marker gene test with CA19-9,,Johns Hopkins University,National Cancer Institute (NCI); National Institutes of Health (NIH); American Association for Cancer Research,9000,2014-01-06,2029-06-05,United States,No,https://clinicaltrials.gov/study/NCT02000089
NCT02302742,"PROspective Evaluation of GErmline Mutations, Cancer Outcome and Tissue Biomarkers: A Registry for Patients With Triple Negative Breast Cancer and Germline Mutations",,Recruiting,Observational,Breast Cancer; Hereditary Breast and Ovarian Cancer,,,University of Kansas Medical Center,,1500,2011-03-22,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT02302742
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT02997709,Collection and Measurement of Blood and Imaging Biomarkers in Patients Undergoing Standard Primary and Postoperative Radiotherapy for Prostatic Neoplasms - The Miami CoMBINe Trial,,Recruiting,Observational,Prostate Cancer,,,University of Miami,Bankhead-Coley Florida Biomedical Research Program,144,2016-06-24,2032-06-05,United States,No,https://clinicaltrials.gov/study/NCT02997709
NCT03127631,The Role of Androgen Deprivation Therapy In Cardiovascular Disease - A Longitudinal Prostate Cancer Study (RADICAL PC1) & A RAndomizeD Intervention for Cardiovascular and Lifestyle Risk Factors in Prostate Cancer Patients (RADICAL PC2),Not Applicable,Recruiting,Interventional,Prostate Cancer; Cardiovascular Disease,"Nutrition; Exercise; Smoking cessation; Statin (such as Simvastatin, Atorvastatin, Rosuvastatin, Pravastatin); ACE inhibitor",,McMaster University,Prostate Cancer Canada; Canadian Cancer Society (CCS),6000,2015-10-21,2026-12-05,Australia; Brazil; Canada; Colombia; Israel; Turkey (Türkiye); United States,No,https://clinicaltrials.gov/study/NCT03127631
NCT03460977,"A PHASE I DOSE ESCALATION AND EXPANDED COHORT STUDY OF PF 06821497 (MEVROMETOSTAT) IN THE TREATMENT OF ADULT PATIENTS WITH RELAPSED/REFRACTORY SMALL CELL LUNG CANCER (SCLC), CASTRATION RESISTANT PROSTATE CANCER (CRPC) AND FOLLICULAR LYMPHOMA (FL)",Phase 1,Recruiting,Interventional,Metastatic Castration Resistant Prostate Cancer (mCRPC); Small Cell Lung Cancer (SCLC); Follicular Lymphoma (FL),Mervometostat (PF-06821497); Enzalutamide,,Pfizer,,433,2018-04-17,2029-03-14,Bulgaria; China; Japan; Poland; Russia; South Korea; Spain; United States,No,https://clinicaltrials.gov/study/NCT03460977
