nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT01514045,The Gastric Cancer Foundation: A Gastric Cancer Registry,,Recruiting,Observational,Gastric Cancer,,,Stanford University,,500,2011-04-05,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT01514045
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02417740,Natural History of Noncirrhotic Portal Hypertension,,Recruiting,Observational,Cystic Fibrosis; Immunologic Deficiency Syndrome; Turner Syndrome; Congenital Hepatic Fibrosis; Idiopathic Non-Cirrhotic Portal Hypertension,,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,400,2015-07-27,2029-09-04,United States,No,https://clinicaltrials.gov/study/NCT02417740
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT03551951,"Tumor Cell and DNA Detection in the Blood, Urine and Bone Marrow of Patients With Solid Cancers and Subjects Undergoing Lung Cancer Screening",,Recruiting,Observational,Non Small Cell Lung Cancer; Esophageal Cancer; Gastric Cancer; Pancreatic Cancer; Hepatocellular Cancer; Colorectal Cancer,"Test for circulating tumor cells, DNA alterations",,University of Missouri-Columbia,Harry S. Truman Memorial Veterans' Hospital,320,2016-07-01,2027-12-30,United States,No,https://clinicaltrials.gov/study/NCT03551951
NCT03607890,Phase 2 Study of Nivolumab and Relatlimab in Advanced Mismatch Repair Deficient Cancers Resistant to Prior PD-(L)1 Inhibitor,Phase 2,Recruiting,Interventional,Refractory MSI - H Solid Tumors Prior of PD-(L) 1 Therapy; MSI-H Tumors,Nivolumab; Relatlimab; Nivolumab; Relatlimab; Nivolumab; Relatlimab,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Bristol-Myers Squibb; National Cancer Institute (NCI),42,2018-11-16,2026-10-05,United States,No,https://clinicaltrials.gov/study/NCT03607890
NCT03740256,A First in Human Phase I Trial of Binary Oncolytic Adenovirus in Combination With HER2-Specific Autologous CAR T Cells in Patients With Advanced HER2 Positive Solid Tumors,Phase 1,Recruiting,Interventional,Bladder Cancer; Head and Neck Squamous Cell Carcinoma; Cancer of the Salivary Gland; Lung Cancer; Breast Cancer; Gastric Cancer; Esophageal Cancer; Colorectal Cancer; Pancreatic Adenocarcinoma; Solid Tumor,CAdVEC,,Baylor College of Medicine,The Methodist Hospital Research Institute,45,2020-12-14,2038-12-30,United States,No,https://clinicaltrials.gov/study/NCT03740256
NCT03769415,HARMONY: Harnessing the Analysis of RNA Expression and Molecular Subtype to Optimize Novel TherapY for Metastatic Breast Cancer,Not Applicable,Recruiting,Interventional,Breast Cancer,Intrinsic Subtyping of Primary Breast Cancer,,UNC Lineberger Comprehensive Cancer Center,"Veracyte, Inc.; Breast Cancer Research Foundation",500,2018-11-06,2030-12-15,United States,No,https://clinicaltrials.gov/study/NCT03769415
NCT03935893,A Phase 2 Study to Evaluate the Efficacy and Safety of Adoptive Transfer of Autologous Tumor Infiltrating Lymphocytes in Patients With Advanced Solid Cancers,Phase 2,Recruiting,Interventional,Gastric Cancer; Colorectal Cancer; Pancreatic Cancer; Sarcoma; Mesothelioma; Neuroendocrine Tumors; Squamous Cell Cancer; Merkel Cell Carcinoma; Mismatch Repair Deficiency; Microsatellite Instability,Tumor Infiltrating Lymphocytes (TIL); Fludarabine + Cyclophosphamide combination,,Udai Kammula,,240,2019-12-03,2038-06-30,United States,No,https://clinicaltrials.gov/study/NCT03935893
NCT04107077,A Phase IIa Study of Laparoscopic Hyperthermic Intraperitoneal Chemotherapy (HIPEC) and PD-L1 Expression in Gastric Cancer With Peritoneal Metastases,Phase 2,Recruiting,Interventional,Gastric Cancer; Peritoneal Carcinomatosis,Cisplatin; Mitomycin,,University of Chicago,,21,2025-09-09,2026-06-01,United States,No,https://clinicaltrials.gov/study/NCT04107077
NCT04114136,A Phase II Clinical Trial of Anti-PD-1 mAb Therapy Alone or With Metabolic Modulators to Reverse Tumor Hypoxia and Immune Dysfunction in Solid Tumor Malignancies,Phase 2,Recruiting,Interventional,Melanoma; NSCLC; Hepatocellular Carcinoma; Urothelial Cancer; Gastric Adenocarcinoma; HNSCC; Esophageal Adenocarcinoma; Microsatellite Instability-High Solid Malignant Tumor,Nivolumab or Pembrolizumab (dependent upon approved indication); Metformin; Rosiglitazone,,Dan Zandberg,,72,2020-09-14,2032-04-30,United States,No,https://clinicaltrials.gov/study/NCT04114136
NCT04191551,The GAstric Precancerous Conditions Study,,Recruiting,Observational,Gastric Cancer; Intestinal Metaplasia of Gastric Mucosa; Helicobacter Pylori Infection; Atrophic Gastritis,,,Stanford University,,600,2018-07-30,2028-06-30,United States,No,https://clinicaltrials.gov/study/NCT04191551
NCT04221893,Phase II Study of Hypofractionated Radiation Therapy to Augment Immune Response in Patients With Metastatic GastroIntestinal Malignancies Progressing on Immune Therapy (ARM-GI),Not Applicable,Recruiting,Interventional,Stage IV Esophageal Adenocarcinoma; Stage IV Esophageal Squamous Cell Carcinoma; Stage IV Gastric Cancer; Stage IV Adenocarcinoma of the Gastroesophageal Junction; Stage IVA Esophageal Adenocarcinoma; Stage IVA Esophageal Squamous Cell Carcinoma; Stage IVA Gastric Cancer; Stage IVA Adenocarcinoma of the Gastroesophageal Junction; Stage IVB Esophageal Adenocarcinoma; Stage IVB Esophageal Squamous Cell Carcinoma; Stage IVB Gastric Cancer; Stage IVB Gastroesophageal Junction Adenocarcinoma; Metastatic Anal Canal Carcinoma; Metastatic Colorectal Carcinoma; Metastatic Esophageal Carcinoma; Metastatic Gastric Carcinoma; Metastatic Gastroesophageal Junction Adenocarcinoma; Metastatic Hepatocellular Carcinoma; Metastatic Malignant Digestive System Neoplasm; Metastatic Small Intestinal Carcinoma; Pancreatobiliary Carcinoma; Pathologic Stage IV Gastric Cancer AJCC v8; Pathologic Stage IVA Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IVB Esophageal Adenocarcinoma AJCC v8; Pathologic Stage IVB Esophageal Squamous Cell Carcinoma AJCC v8; Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IV Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8; Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8; Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVB Esophageal Adenocarcinoma AJCC v8; Postneoadjuvant Therapy Stage IVB Esophageal Squamous Cell Carcinoma AJCC V8; Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8; Stage IV Anal Cancer AJCC v8; Stage IV Colorectal Cancer AJCC v8; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IVA Colorectal Cancer AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Colorectal Cancer AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Stage IVC Colorectal Cancer AJCC v8,Radiation Therapy (RT),,"University of California, San Francisco",Varian Medical Systems,28,2020-08-07,2028-04-30,United States,No,https://clinicaltrials.gov/study/NCT04221893
NCT04314401,Cancer Moonshot Biobank Research Protocol,,Recruiting,Observational,Acute Myeloid Leukemia; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Clinical Stage IV Esophageal Adenocarcinoma AJCC v8; Clinical Stage IV Gastric Cancer AJCC v8; Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8; Esophageal Carcinoma; Fallopian Tube Carcinoma; Gastric Carcinoma; Hormone Receptor-Positive Breast Carcinoma; Invasive Breast Carcinoma; Lung Non-Small Cell Carcinoma; Lung Small Cell Carcinoma; Malignant Solid Neoplasm; Melanoma; Metastatic Prostate Carcinoma; Multiple Myeloma; Ovarian Carcinoma; Ovarian High Grade Serous Adenocarcinoma; Primary Peritoneal Carcinoma; Stage III Fallopian Tube Cancer AJCC v8; Stage III Lung Cancer AJCC v8; Stage III Ovarian Cancer AJCC v8; Stage IV Colorectal Cancer AJCC v8; Stage IV Fallopian Tube Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IVB Prostate Cancer AJCC v8; Triple-Negative Breast Carcinoma,Biospecimen Collection; Computed Tomography; Magnetic Resonance Imaging; Medical Chart Review; Paracentesis; Positron Emission Tomography,,National Cancer Institute (NCI),,1600,2020-11-11,2027-04-30,Puerto Rico; United States,No,https://clinicaltrials.gov/study/NCT04314401
NCT04383262,"A 12-Week Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Assess the Efficacy of Oral Fosamprenavir for Laryngopharyngeal Reflux",Phase 2,Not yet recruiting,Interventional,Laryngopharyngeal Reflux,Fosamprenavir Calcium; Placebo,,Medical College of Wisconsin,,104,2026-03-01,2027-10-01,United States,No,https://clinicaltrials.gov/study/NCT04383262
NCT04553770,"A Phase II, Multicenter, Open-Label Trial to Evaluate the Safety and Efficacy of Trastuzumab Deruxtecan (DS-8201a) With or Without Anastrozole for HER2 Low Hormone Receptor Positive (HR+) Breast Cancer in the Neoadjuvant Setting",Phase 2,Recruiting,Interventional,Early-stage Breast Cancer; Hormone Receptor Positive Breast Carcinoma; Invasive Breast Cancer; Stage II Breast Cancer; Stage IIA Breast Cancer; Stage IIB Breast Cancer; Stage III Breast Cancer,Anastrozole; Therapeutic Conventional Surgery; Trastuzumab Deruxtecan,,Jonsson Comprehensive Cancer Center,"Translational Research in Oncology-U.S; Daiichi Sankyo Co., Ltd.",88,2020-10-09,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04553770
