nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00005095,Northwestern Ovarian Cancer Early Detection & Prevention Program: A Specimen and Data Study,,Recruiting,Observational,"Cervical Cancer; Endometrial Cancer; Fallopian Tube Cancer; Hereditary Breast/Ovarian Cancer (brca1, brca2); Ovarian Cancer; Sarcoma; Uterine Leiomyomata; Vaginal Cancer; Vulvar Cancer",Ca-125; screening questionnaire administration; Surgery,,Northwestern University,National Cancer Institute (NCI),6000,2000-03-05,2040-12-05,United States,No,https://clinicaltrials.gov/study/NCT00005095
NCT01109394,Comprehensive Omics Analysis of Pediatric and Adult Solid Tumors and Establishment of a Repository for Related Biological Studies,,Recruiting,Observational,Sarcoma; Endocrine Tumors; Neuroblastoma; Retinoblastoma; Renal Cancer,,,National Cancer Institute (NCI),,6035,2010-04-21,,United States,No,https://clinicaltrials.gov/study/NCT01109394
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02792270,Effects Of Caloric Restriction On Post-Operative Complications In Sarcoma Patients Treated With Pre-Operative Radiation Therapy,Not Applicable,Recruiting,Interventional,Tumor Surgery,Caloric Restriction Diet,,Massachusetts General Hospital,,32,2016-06-05,2027-05-05,United States,No,https://clinicaltrials.gov/study/NCT02792270
NCT03076658,Open Access Database of Standing Full Body Radiographs in Asymptomatic Volunteers,Not Applicable,Recruiting,Interventional,"Intervertebral Disc Degeneration; Osteoarthritis, Spine",EOS imaging,,"University of Colorado, Denver",,60,2016-09-05,2031-01-05,United States,No,https://clinicaltrials.gov/study/NCT03076658
NCT03141021,Multi-Institutional Registry for Malignant Peripheral Nerve Sheath Tumors,,Recruiting,Observational,Malignant Peripheral Nerve Sheath Tumors,,,Washington University School of Medicine,Boston's Children Hospital,1050,2017-04-28,2053-04-30,Canada; India; Japan; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT03141021
NCT03300830,"Molecular Characterization of Viral-associated Tumors, Tumors Occurring in the Setting of HIV or Other Immune Disorders and Castleman Disease",,Recruiting,Observational,Human Immunodeficiency Virus; Castleman's Disease; Kaposi's Sarcoma; Viral-Associated Cancer,,,National Cancer Institute (NCI),,280,2017-12-20,2037-06-25,United States,No,https://clinicaltrials.gov/study/NCT03300830
NCT03420963,Ex-Vivo Expanded Allogeneic NK Cells for the Treatment of Solid Tumors of Pediatric Origin in Children and Young Adults,Phase 1,Recruiting,Interventional,Recurrent Cutaneous Melanoma; Recurrent Lip and Oral Cavity Carcinoma; Recurrent Malignant Endocrine Neoplasm; Recurrent Malignant Female Reproductive System Neoplasm; Recurrent Malignant Male Reproductive System Neoplasm; Recurrent Malignant Mesothelioma; Recurrent Malignant Neoplasm of Multiple Primary Sites; Recurrent Malignant Oral Neoplasm; Recurrent Malignant Pharyngeal Neoplasm; Recurrent Malignant Skin Neoplasm; Recurrent Malignant Soft Tissue Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Malignant Thyroid Gland Neoplasm; Recurrent Malignant Urinary System Neoplasm; Refractory Cutaneous Melanoma; Refractory Malignant Bone Neoplasm; Refractory Malignant Endocrine Neoplasm; Refractory Malignant Female Reproductive System Neoplasm; Refractory Malignant Male Reproductive System Neoplasm; Refractory Malignant Mesothelioma; Refractory Malignant Neoplasm of Multiple Primary Sites; Refractory Malignant Oral Neoplasm; Refractory Malignant Pharyngeal Neoplasm; Refractory Malignant Skin Neoplasm; Refractory Malignant Soft Tissue Neoplasm; Refractory Malignant Solid Neoplasm; Refractory Malignant Thyroid Gland Neoplasm; Refractory Malignant Urinary System Neoplasm,Cord Blood-derived Expanded Allogeneic Natural Killer Cells; Cyclophosphamide; Etoposide,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),38,2018-08-31,2027-12-01,United States,No,https://clinicaltrials.gov/study/NCT03420963
NCT03739827,Natural History and Biospecimen Acquisition Study for Children and Adults With Rare Solid Tumors,,Recruiting,Observational,Malignant Solid Tumors; Other Neoplasms Solid Tumors; Pediatric Solid Tumor; Refractory Solid Tumors; Solid Tumor,,,National Cancer Institute (NCI),,10000,2019-01-28,2032-03-31,United States,No,https://clinicaltrials.gov/study/NCT03739827
NCT03968393,Anticoagulation for Stroke Prevention In Patients With Recent Episodes of Perioperative Atrial Fibrillation After Noncardiac Surgery - The ASPIRE-AF Trial,Phase 4,Recruiting,Interventional,Stroke; Atrial Fibrillation,Non-vitamin K oral anticoagulant (NOAC),,Population Health Research Institute,Hamilton Health Sciences Corporation,2270,2019-06-14,2028-12-05,Argentina; Australia; Brazil; Canada; Denmark; Finland; Germany; India; Italy; Nepal; Netherlands; Pakistan; South Korea; Spain; Sweden; Switzerland; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT03968393
NCT04087902,A Prospective Longitudinal Quality of Life Study in Patients Undergoing Endoscopic Endonasal Skull Base Surgery,,Recruiting,Observational,Pituitary Tumor; Meningioma; Rathke Cleft Cysts; Chordoma; Chondrosarcoma; Craniopharyngioma; Encephalocele; Esthesioneuroblastoma,,,Ohio State University,,400,2019-07-16,2025-12-31,United States,No,https://clinicaltrials.gov/study/NCT04087902
NCT04123535,Focused Ultrasound to Promote Immune Responses for Undifferentiated Pleomorphic Sarcoma,Not Applicable,Recruiting,Interventional,Undifferentiated Pleomorphic Sarcoma,ExAblate 2000/2100 Magnetic Resonance-guided Focused Ultrasound (MRgFUS),,Matthew Bucknor,Focused Ultrasound Foundation; InSightec-TxSonics,20,2020-01-23,2026-06-30,United States,No,https://clinicaltrials.gov/study/NCT04123535
NCT04130503,The Recovery in Stroke Using PAP Study,Not Applicable,Recruiting,Interventional,Ischemic Stroke; Obstructive Sleep Apnea,PAP; HLE,,Yale University,Hartford HealthCare; National Institute of Nursing Research (NINR); American Academy of Sleep Medicine Foundation (AASM),360,2019-09-01,2025-10-05,United States,No,https://clinicaltrials.gov/study/NCT04130503
NCT04222413,"First-in-Human Phase I Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological and Clinical Activity of Metarrestin (ML-246) in Subjects With Metastatic Solid Tumors",Phase 1,Recruiting,Interventional,Advanced Solid Tumors; Metastatic Pancreatic Cancer; Pediatric Solid Tumor; Advanced Breast Cancer; Malignant Peripheral Nerve Sheath Tumor; Colorectal Neoplasms,Metarrestin,,National Cancer Institute (NCI),,116,2020-10-27,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT04222413
NCT04256018,"A Phase 2 Single Center, Single Arm, Open Label Mogamulizumab Combined Upfront With Low Dose Total Skin Electron Beam Therapy (LD TSEBT) in Patients With Mycosis Fungoides (MF) and Sézary Syndrome (SS)",Phase 2,Recruiting,Interventional,Sezary Syndrome; Mycosis Fungoides,Mogamulizumab; LD TSEBT,,Stanford University,,30,2020-03-30,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT04256018
NCT04282044,A Phase 1 Study of the Safety and Efficacy of CRX100 as Monotherapy and in Combination With Pembrolizumab in Advanced Solid Malignancies,Phase 1,Recruiting,Interventional,"Solid Tumor, Adult; Triple Negative Breast Cancer; Colorectal Cancer; Hepatocellular Carcinoma; Osteosarcoma; Epithelial Ovarian Cancer; Gastric Cancer; Non-small Cell Lung Cancer; Malignant Melanoma",CRX100 suspension for infusion; Fludarabine; Cyclophosphamide,,BioEclipse Therapeutics,,60,2021-01-08,2026-10-05,United States,No,https://clinicaltrials.gov/study/NCT04282044
NCT04390737,"A Phase I/II Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Clinical Activity of HH2853 in Patients with Relapsed/Refractory Non-Hodgkin's Lymphomas or Advanced Solid Tumors",Phase 1/Phase 2,Recruiting,Interventional,FL Lymphoma; Epithelioid Sarcoma; Peripheral T Cell Lymphoma; Advanced Solid Tumor,HH2853 Tablets,,"Haihe Biopharma Co., Ltd.",,254,2020-09-08,2025-12-31,China; United States,No,https://clinicaltrials.gov/study/NCT04390737
NCT04458584,Restoration of Thumb Strength and Function in Basal Joint Arthritis: A Comparative Effectiveness Trial (RESTART),,Recruiting,Observational,Osteoarthritis Thumb,Trapeziectomy with ligament reconstruction (I; LRTI); Trapeziectomy with suture suspensionplasty (II; SS); Arthroscopic Trapeziectomy (III; AT),,Dartmouth-Hitchcock Medical Center,,165,2020-06-29,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04458584
NCT04461171,Enhanced Recovery After Surgery in Extremity Sarcoma,Not Applicable,Recruiting,Interventional,Sarcoma,Enhanced Recovery After Surgery,,Joshua Lawrenz,,120,2020-12-14,2026-06-05,United States,No,https://clinicaltrials.gov/study/NCT04461171
NCT04771130,"A Phase 1b/2, Open-Label, Dose Finding, and Expansion Study of the Bcl-2 Inhibitor BGB-11417 in Patients With Myeloid Malignancies",Phase 1/Phase 2,Recruiting,Interventional,Acute Myeloid Leukemia; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasm,BGB-11417; Azacitidine; Posaconazole; BGB-11417; BGB-11417,,BeiGene,,260,2021-05-24,2028-02-08,Australia; China; France; Germany; Italy; New Zealand; South Korea; Spain; United Kingdom; United States,No,https://clinicaltrials.gov/study/NCT04771130
NCT04797767,"A Phase 1/2 Single-Center Trial Combining Venetoclax With G-CSF, Cladribine, Cytarabine, and Mitoxantrone (CLAG-M) for Patients With AML and High-Grade Myeloid Neoplasms",Phase 1/Phase 2,Recruiting,Interventional,Acute Biphenotypic Leukemia; Acute Myeloid Leukemia; Mixed Phenotype Acute Leukemia; Myeloid Neoplasm; Relapsed Acute Biphenotypic Leukemia; Relapsed Acute Myeloid Leukemia; Relapsed Mixed Phenotype Acute Leukemia; Relapsed Myeloid Neoplasm; Refractory Acute Biphenotypic Leukemia; Refractory Acute Myeloid Leukemia; Refractory Mixed Phenotype Acute Leukemia; Refractory Myeloid Neoplasm; Recurrent Myeloid Sarcoma,Cladribine; Cytarabine; Mitoxantrone; Recombinant Granulocyte Colony-Stimulating Factor; Venetoclax; Bone Marrow Aspiration; Bone Marrow Biopsy; Biospecimen Collection,,University of Washington,AbbVie,62,2022-02-04,2027-12-31,United States,No,https://clinicaltrials.gov/study/NCT04797767
NCT04800484,The Effects of AFO Heel Height and Stiffness on Gait,Not Applicable,Recruiting,Interventional,Musculoskeletal Injury; Musculoskeletal Diseases; Peripheral Nervous System Diseases,Tall Soft; Tall Firm; Short Soft; Short Firm,,University of Iowa,,40,2019-11-07,2027-01-01,United States,No,https://clinicaltrials.gov/study/NCT04800484
NCT04858256,"Phase 2, Open Label, Multicenter Study of Pacritinib in Relapsed/Refractory T-cell Lymphoproliferative Neoplasms",Phase 2,Recruiting,Interventional,T-Cell Neoplasm; Lymphoproliferative Disorders,Pacritinib,,University of Michigan Rogel Cancer Center,National Institutes of Health (NIH); National Cancer Institute (NCI); Hoosier Cancer Research Network; CTI BioPharma,100,2023-03-29,2028-11-05,United States,No,https://clinicaltrials.gov/study/NCT04858256
NCT04889716,Phase II Study of Dual Targeting of CD19 and CD20 Antigens Using Sequential CD19-directed CAR-T Cells Followed by Mosunetuzumab or Glofitamab in Relapsed or Refractory Diffuse Large B-cell or Transformed Follicular Lymphomas,Phase 2,Recruiting,Interventional,Large B-cell Lymphoma; DLBCL - Diffuse Large B Cell Lymphoma,mosunetuzumab; glofitamab; obinutuzumab,,Abramson Cancer Center at Penn Medicine,"Genentech, Inc.",42,2021-11-05,2027-06-30,United States,No,https://clinicaltrials.gov/study/NCT04889716
NCT04890093,Phase 1/2 Study of Vincristine and Temozolomide in Combination With PEN-866 for Adolescents and Young Adults With Relapsed or Refractory Solid Tumors,Phase 1/Phase 2,Recruiting,Interventional,"Sarcoma, Ewing; Rhabdomyosarcoma",PEN-866; Vincristine; Temozolomide,,National Cancer Institute (NCI),,64,2024-10-31,2026-12-31,United States,No,https://clinicaltrials.gov/study/NCT04890093
NCT04901702,A Randomized Phase I/II Study of Talazoparib or Temozolomide in Combination With Onivyde in Children With Recurrent Solid Malignancies and Ewing Sarcoma,Phase 1/Phase 2,Recruiting,Interventional,Recurrent Solid Tumor; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Malignant Germ Cell Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Peripheral Primitive Neuroectodermal Tumor; Recurrent Rhabdoid Tumor; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Wilms Tumor; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Malignant Germ Cell Tumor; Refractory Malignant Solid Neoplasm; Refractory Neuroblastoma; Refractory Osteosarcoma; Refractory Peripheral Primitive Neuroectodermal Tumor; Refractory Rhabdoid Tumor; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma,Onivyde; Talazoparib; Temozolomide,,St. Jude Children's Research Hospital,Pfizer; Ipsen,90,2021-06-09,2025-12-31,Canada; United States,No,https://clinicaltrials.gov/study/NCT04901702
NCT04939610,"LuMIERE: A Phase 1/2, Multicenter, Open-label, Non-randomized Study to Investigate Safety and Tolerability, Pharmacokinetics, Dosimetry, and Preliminary Activity of 177Lu-FAP-2286 in Patients With an Advanced Solid Tumor",Phase 1/Phase 2,Recruiting,Interventional,Solid Tumor,68Ga-FAP-2286; 177Lu-FAP-2286,,Novartis Pharmaceuticals,,222,2021-07-30,2028-06-30,Australia; Canada; France; Italy; United States,No,https://clinicaltrials.gov/study/NCT04939610
