nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00131014,Establishing a Tumor Bank and Initial Analysis of Germline and Tumor-Related Genetic Alterations in Families With Multiple Lymphoproliferative Malignancies,,Recruiting,Observational,"Non-Hodgkin's Lymphoma; Hodgkin's Disease; Leukemia, Lymphocytic, Chronic; Lymphoproliferative Disorders",,,Dana-Farber Cancer Institute,,1500,2004-08-09,2033-01-05,United States,No,https://clinicaltrials.gov/study/NCT00131014
NCT01137643,Tissue Procurement For Hematolymphoid Conditions,,Recruiting,Observational,Chronic Myeloproliferative Disorders; Leukemia; Lymphoma; Lymphoproliferative Disorder; Multiple Myeloma and Plasma Cell Neoplasm; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Neoplasms; Nonmalignant Neoplasm,biologic sample preservation procedure; cytology specimen collection procedure,,UNC Lineberger Comprehensive Cancer Center,National Cancer Institute (NCI),15000,2009-07-05,2040-07-05,United States,No,https://clinicaltrials.gov/study/NCT01137643
NCT01890486,"The Prospective Collection, Storage and Reporting of Data on Patients",,Recruiting,Observational,Acute Myelogenous Leukemia; Acute Lymphocytic Leukemia; Chronic Myelogenous Leukemia; Non-Hodgkin's Lymphoma; Hodgkin's Disease; Multiple Myeloma; Germ Cell Neoplasms; Myelodysplastic Syndromes; Chronic Lymphocytic Leukemia; Immunodeficiency Diseases,,,Wake Forest University Health Sciences,,2000,2001-05-21,2026-06-05,United States,No,https://clinicaltrials.gov/study/NCT01890486
NCT03072927,MILD® Percutaneous Image-Guided Lumbar Decompression: A Medicare Claims Study,,Recruiting,Observational,Lumbar Spinal Stenosis,MILD; Interspinous Process Decompression,,Stryker Instruments,,8000,2017-03-10,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT03072927
NCT03219450,"A Pilot Study of a Personalized Neoantigen Cancer Vaccine With and Without Low-Dose Cyclophosphamide or Pembrolizumab in Treatment Naïve, Asymptomatic Patients With IGHV Unmutated Chronic Lymphocytic Leukemia.",Phase 1,Recruiting,Interventional,Lymphocytic Leukemia,NeoVax; Cyclophosphamide; Pembrolizumab,,Dana-Farber Cancer Institute,"Oncovir, Inc.; BioNTech SE; Merck Sharp & Dohme LLC",15,2021-08-18,2028-03-31,United States,No,https://clinicaltrials.gov/study/NCT03219450
NCT03263572,Phase II Study of the Combination of Blinatumomab and Ponatinib in Patients With Philadelphia Chromosome (Ph)-Positive and/or BCR-ABL Positive Acute Lymphoblastic Leukemia (ALL),Phase 2,Recruiting,Interventional,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Acute Lymphoblastic Leukemia; BCR-ABL1 Fusion Protein Expression; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Philadelphia Chromosome Positive; Recurrent Acute Lymphoblastic Leukemia; Refractory Acute Lymphoblastic Leukemia; t(9;22)",Blinatumomab; Cytarabine; Methotrexate; Ponatinib,,M.D. Anderson Cancer Center,National Cancer Institute (NCI); Amgen; Takeda,90,2017-11-29,2027-11-30,United States,No,https://clinicaltrials.gov/study/NCT03263572
NCT03331198,"An Open-Label, Phase 1/2 Study of JCAR017 in Subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma (017004)",Phase 1/Phase 2,Recruiting,Interventional,"Leukemia, Lymphocytic, Chronic, B-Cell; Lymphoma, Small Lymphocytic",JCAR017 (lisocabtagene maraleucel); JCAR017 (lisocabtagene maraleucel) + ibrutinib; JCAR017 (lisocabtagene maraleucel) + venetoclax,,"Juno Therapeutics, a Subsidiary of Celgene",,320,2017-11-27,2027-11-26,Canada; United States,No,https://clinicaltrials.gov/study/NCT03331198
NCT03494569,Phase I Study of Escalating Doses of Total Marrow and Lymphoid Irradiation (TMLI) Combined With Fludarabine and Melphalan as Conditioning for Allogeneic Hematopoietic Cell Transplantation in Patients With High-Risk Acute Leukemia or Myelodysplastic Syndrome,Phase 1,Recruiting,Interventional,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Leukemia in Remission; Acute Myeloid Leukemia; Acute Myeloid Leukemia in Remission; Hematopoietic Cell Transplantation Recipient; Minimal Residual Disease; Myelodysplastic Syndrome; Secondary Acute Myeloid Leukemia,Fludarabine; Laboratory Biomarker Analysis; Melphalan; Total Marrow Irradiation,,City of Hope Medical Center,National Cancer Institute (NCI),36,2018-07-06,2026-09-08,United States,No,https://clinicaltrials.gov/study/NCT03494569
NCT03802695,"A Phase 1 Dose Escalation and Expansion Study of Orca-Q, an Engineered Donor Graft Derived From Mobilized Peripheral Blood, in Recipients Undergoing Allogeneic Hematopoietic Cell Transplantation for Hematologic Malignancies",Phase 1,Recruiting,Interventional,Acute Myeloid Leukemia; Myelodysplastic Syndromes; Mixed Phenotype Acute Leukemia; Acute Lymphoblastic Leukemia,OrcaGraft (Orca-Q),,"Orca Biosystems, Inc.",,300,2019-04-08,2027-12-05,United States,No,https://clinicaltrials.gov/study/NCT03802695
NCT04169737,A Randomized Phase II Study of Acalabrutinib (ACA) + Venetoclax (VEN) +/- Early Obinutuzumab (OBIN) for Patients With Chronic Lymphocytic Leukemia (CLL),Phase 2,Recruiting,Interventional,Recurrent Chronic Lymphocytic Leukemia; Recurrent Small Lymphocytic Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Small Lymphocytic Lymphoma,Acalabrutinib; Obinutuzumab; Venetoclax,,M.D. Anderson Cancer Center,"National Cancer Institute (NCI); AstraZeneca; Genentech, Inc.",168,2020-07-29,2026-07-09,United States,No,https://clinicaltrials.gov/study/NCT04169737
