nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00001238,"Von Hippel-Lindau (VHL): Clinical Manifestations, Diagnosis, Management and Molecular Bases of Inherited Renal and Other Urologic Malignant Disorders",,Recruiting,Observational,Kidney Cancer; Urologic Malignant Disorders; Renal Cell Carcinoma; Familial Renal Cancer (FRC); Clear Cell Renal Cancer,,,National Cancer Institute (NCI),,5000,1990-12-05,,United States,No,https://clinicaltrials.gov/study/NCT00001238
NCT00033137,"Birt-Hogg-Dub(SqrRoot)(Copyright) Syndrome: Characterization of the FLCN Disease Gene and Predisposition to Renal Cancer, Cutaneous Fibrofolliculoma and Pulmonary Cysts",,Recruiting,Observational,"Kidney Neoplasms; Kidney Cancer; Pneumothorax; FLCN Protein, Human",,,National Cancer Institute (NCI),,950,2002-05-13,,United States,No,https://clinicaltrials.gov/study/NCT00033137
NCT00102544,Electromagnetic Tracking of Devices During Interventional Procedures,Not Applicable,Enrolling by invitation,Interventional,Adenocarcinoma; Prostate Neoplasms; Prostate Cancer; Renal Cell Carcinoma; Von Hippel Lindau Disease,EM Tracking,,National Institutes of Health Clinical Center (CC),,3894,2005-02-23,2026-06-02,United States,No,https://clinicaltrials.gov/study/NCT00102544
NCT01109394,Comprehensive Omics Analysis of Pediatric and Adult Solid Tumors and Establishment of a Repository for Related Biological Studies,,Recruiting,Observational,Sarcoma; Endocrine Tumors; Neuroblastoma; Retinoblastoma; Renal Cancer,,,National Cancer Institute (NCI),,6035,2010-04-21,,United States,No,https://clinicaltrials.gov/study/NCT01109394
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT03422198,Short Course Adjuvant Vaginal Cuff Brachytherapy (VCB) in Early Endometrial Cancer Compared to Standard of Care (SAVE),Phase 3,Recruiting,Interventional,Endometrial Clear Cell Adenocarcinoma; Endometrial Endometrioid Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage I Uterine Corpus Cancer; Stage IA Uterine Corpus Cancer; Stage IB Uterine Corpus Cancer; Stage II Uterine Corpus Cancer; Uterine Corpus Carcinosarcoma; Uterine Corpus Sarcoma,Vaginal Cuff Brachytherapy; Short course vaginal cuff brachytherapy,,University of Utah,Huntsman Cancer Institute,188,2018-02-02,2029-10-31,United States,No,https://clinicaltrials.gov/study/NCT03422198
NCT03474497,"UCDCC#272: A Phase I/II Study of Intralesional IL-2, Hypofractionated Radiotherapy, and Pembrolizumab in Patients Refractory to Standard-of-Care PD-1/PD-L1 Checkpoint Blockade",Phase 1/Phase 2,Recruiting,Interventional,Non Small Cell Lung Cancer; Metastatic Melanoma; Metastatic Renal Cell Carcinoma; Head and Neck Squamous Cell Carcinoma,IL-2; Pembrolizumab; Radiotherapy,,"Megan Daly, MD",Merck Sharp & Dohme LLC,45,2019-05-20,2023-12-05,United States,No,https://clinicaltrials.gov/study/NCT03474497
NCT03592472,"A Randomized, Phase 3, Double-blind, Placebo-controlled Study of Pazopanib With or Without Abexinostat in Patients With Locally Advanced or Metastatic Renal Cell Carcinoma(RENAVIV)",Phase 3,Recruiting,Interventional,Renal Cell Carcinoma,Pazopanib; Abexinostat; Placebo,,"Xynomic Pharmaceuticals, Inc.",,413,2018-07-17,2028-06-30,China; Italy; Poland; South Korea; Spain; United States,No,https://clinicaltrials.gov/study/NCT03592472
NCT03682289,Phase II Trial of Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Selected Solid Tumor Malignancies,Phase 2,Recruiting,Interventional,Clear Cell Renal Cell Carcinoma; Locally Advanced Pancreatic Cancer; Locally Advanced Malignant Solid Neoplasm; Metastatic Malignant Solid Neoplasm; Metastatic Renal Cell Carcinoma; Metastatic Urothelial Carcinoma; Metastatic Pancreatic Cancer; Stage III Pancreatic Cancer; Stage III Renal Cell Cancer; Stage IV Pancreatic Cancer; Stage IV Renal Cell Cancer; Endometrial Cancer; Metastatic Castration-resistant Prostate Cancer,Ceralasertib; Olaparib; Durvalumab,,Rahul Aggarwal,AstraZeneca,89,2019-01-17,2028-03-31,United States,No,https://clinicaltrials.gov/study/NCT03682289
NCT03786796,Phase II Study of Olaparib in Metastatic Renal Cell Carcinoma Patients Harboring a BAP-1 or Other DNA Repair Gene Mutations (ORCHID),Phase 2,Recruiting,Interventional,Renal Cell Carcinoma; Metastatic Renal Cell Carcinoma; Kidney Cancer; Renal Carcinoma; Kidney Cancer Metastatic,Olaparib,,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,AstraZeneca,20,2019-06-03,2028-03-05,United States,No,https://clinicaltrials.gov/study/NCT03786796
