nct_id,title,phase,status,study_type,conditions,interventions,molecular_targets,sponsor,collaborators,enrollment_count,start_date,completion_date,locations,needs_review,source_url
NCT00005095,Northwestern Ovarian Cancer Early Detection & Prevention Program: A Specimen and Data Study,,Recruiting,Observational,"Cervical Cancer; Endometrial Cancer; Fallopian Tube Cancer; Hereditary Breast/Ovarian Cancer (brca1, brca2); Ovarian Cancer; Sarcoma; Uterine Leiomyomata; Vaginal Cancer; Vulvar Cancer",Ca-125; screening questionnaire administration; Surgery,,Northwestern University,National Cancer Institute (NCI),6000,2000-03-05,2040-12-05,United States,No,https://clinicaltrials.gov/study/NCT00005095
NCT00823654,Multi-Center Study of Serum Biomarkers to Characterize the Effects of Therapy on Ovarian Reserve in Premenopausal Women With Early-stage Breast Cancer BRCA Mutations,,Recruiting,Observational,Breast Cancer,Blood draw and questionnaires; Blood draw and questionnaires,,Memorial Sloan Kettering Cancer Center,Yale University; New York Presbyterian Hospital; Weill Medical College of Cornell University,609,2009-01-05,2027-01-05,United States,No,https://clinicaltrials.gov/study/NCT00823654
NCT01102569,Molecular Genetics and Epidemiology of Pancreatic Cancer in Ashkenazi Jewish Patients,,Recruiting,Observational,Pancreatic Cancer,,,Columbia University,,100,2008-01-05,2027-12-05,United States,No,https://clinicaltrials.gov/study/NCT01102569
NCT01174121,"A Phase II Study Using Short-Term Cultured, Autologous Tumor-Infiltrating Lymphocytes Following a Lymphodepleting Regimen in Metastatic Cancers Plus the Administration of Pembrolizumab",Phase 2,Recruiting,Interventional,Metastatic Colorectal Cancer; Metastatic Pancreatic Cancer; Metastatic Ovarian Cancer; Metastatic Breast Carcinoma; Metastatic Endocrine Tumors/ Neuroendocrine Tumors,Pembrolizumab (Keytruda); Fludarabine; Cyclophosphamide; Aldesleukin; Young TIL,,National Cancer Institute (NCI),,332,2010-08-26,2029-12-27,United States,No,https://clinicaltrials.gov/study/NCT01174121
NCT02000089,The Cancer of the Pancreas Screening-5 CAPS5)Study,Phase 3,Recruiting,Interventional,Pancreas Cancer; Peutz-Jeghers Syndrome (PJS); Gene Mutation; Germline Mutation Carrier; Lynch Syndrome,Secretin; MRI; Tumor marker gene test with CA19-9,,Johns Hopkins University,National Cancer Institute (NCI); National Institutes of Health (NIH); American Association for Cancer Research,9000,2014-01-06,2029-06-05,United States,No,https://clinicaltrials.gov/study/NCT02000089
NCT02012699,Integrated Cancer Repository for Cancer Research,,Recruiting,Observational,Pancreatic Cancer; Thyroid Cancer; Lung Cancer; Esophageal Cancer; Thymus Cancer; Colon Cancer; Rectal Cancer; Gastrointestinal Stromal Tumors; Anal Cancer; Bile Duct Cancer; Duodenal Cancer; Gallbladder Cancer; Gastric Cancer; Liver Cancer; Small Intestine Cancer; Peritoneal Surface Malignancies; Familial Adenomatous Polyposis; Lynch Syndrome; Bladder Cancer; Kidney Cancer; Penile Cancer; Prostate Cancer; Testicular Cancer; Ureter Cancer; Urethral Cancer; Hypopharyngeal Cancer; Laryngeal Cancer; Lip Cancer; Oral Cavity Cancer; Nasopharyngeal Cancer; Oropharyngeal Cancer; Paranasal Sinus Cancer; Nasal Cavity Cancer; Salivary Gland Cancer; Skin Cancer; Central Nervous System Tumor; Central Nervous System Cancer; Mesothelioma; Breast Cancer; Leukemia; Melanoma; Sarcoma; Unknown Primary Tumor; Multiple Myeloma; Ovarian Cancer; Endometrial Cancer; Vaginal Cancer; Neuroendocrine Tumors; Plasma Cell Dyscrasia; Healthy Control,,,University of Nebraska,,999999,2013-11-01,2099-12-05,United States,No,https://clinicaltrials.gov/study/NCT02012699
NCT02288676,DOvEEgene/WISE Genomics: Diagnosing Ovarian and Endometrial Cancer Early Using Genomics,,Recruiting,Observational,Ovarian Neoplasms; Endometrial Neoplasms; Endometrial Cancer; Ovarian Cancer; Screening; Safety; Reduced Mortality; Reduced Morbidity; Early Diagnosis,,,McGill University,McGill University Health Centre/Research Institute of the McGill University Health Centre,1200,2014-01-05,2026-10-05,Canada,No,https://clinicaltrials.gov/study/NCT02288676
NCT02296307,Diagnosing Ovarian & Endometrial Cancer Early (DOvEE) by Targeting Symptomatic Women,,Recruiting,Observational,Ovarian Neoplasms,Blood test: CA-125 biomarker; Second Test: Transvaginal Ultrasound; Follow-up phone call,,McGill University,,13600,2012-01-05,2026-01-05,Canada,No,https://clinicaltrials.gov/study/NCT02296307
NCT02302742,"PROspective Evaluation of GErmline Mutations, Cancer Outcome and Tissue Biomarkers: A Registry for Patients With Triple Negative Breast Cancer and Germline Mutations",,Recruiting,Observational,Breast Cancer; Hereditary Breast and Ovarian Cancer,,,University of Kansas Medical Center,,1500,2011-03-22,2026-12-05,United States,No,https://clinicaltrials.gov/study/NCT02302742
NCT02693535,Targeted Agent and Profiling Utilization Registry (TAPUR) Study,Phase 2,Recruiting,Interventional,"Lymphoma, Non-Hodgkin; Multiple Myeloma; Advanced Solid Tumors",Palbociclib; Sunitinib; Temsirolimus; Trastuzumab and Pertuzumab; Vemurafenib and Cobimetinib; Regorafenib; Olaparib; Pembrolizumab; Nivolumab and Ipilimumab; Abemaciclib; Talazoparib; Atezolizumab and PHESGO; Atezolizumab and Talazoparib; Entrectinib; Larotrectinib; Tucatinib plus Trastuzumab Subcutaneous (SC); Futibatinib,,American Society of Clinical Oncology,"AstraZeneca; Bayer; Bristol-Myers Squibb; Eli Lilly and Company; Genentech, Inc.; Merck Sharp & Dohme LLC; Pfizer; Boehringer Ingelheim; Seagen Inc.; Taiho Oncology, Inc.",4200,2016-03-14,2028-12-31,United States,No,https://clinicaltrials.gov/study/NCT02693535
NCT02732860,Prospective Evaluation of Freshly Implanted Cancers in Mice to Test Drug Response in Matching Host,,Recruiting,Observational,Colorectal Neoplasms; Colorectal Cancer; Breast Cancer; Breast Neoplasms; Ovarian Cancer; Ovarian Neoplasm,Molecular Profiling & In Vivo drug testing in pPDX and organoid cultures,,"University Health Network, Toronto",,120,2015-12-05,2026-01-04,Canada,No,https://clinicaltrials.gov/study/NCT02732860
NCT02775461,Pancreas Disease and High Risk Registry,,Recruiting,Observational,Pancreas Cancer; Pancreatitis; Chronic Pancreatitis; Pancreatic Cyst; Family History of Pancreas Cancer; Genetic Mutations,,,Icahn School of Medicine at Mount Sinai,,1116,2013-03-01,2033-11-05,United States,No,https://clinicaltrials.gov/study/NCT02775461
NCT03419689,Biomarker Discovery Project in High Grade Serous Ovarian Cancer,Not Applicable,Recruiting,Interventional,Gynecologic Cancer,Tumour tissue collection; Blood sample collection; Ascites Collection; Fluid Collection,,"University Health Network, Toronto",,510,2018-01-08,2028-06-08,Canada,No,https://clinicaltrials.gov/study/NCT03419689
